2026-04-05 16:11:32 | INFO | __main__ | Logging to D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\results\logs\run_20260405_161132.log
2026-04-05 16:11:32 | INFO | runner | Detected total RAM: 95.69 GiB
2026-04-05 16:11:32 | INFO | runner | Using config file: D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\config\default.yaml
2026-04-05 16:11:32 | INFO | runner | File-backed pressure cap is 305.41 GiB based on existing file=4.78 GiB and allowed disk growth=300.63 GiB
2026-04-05 16:11:32 | INFO | runner | Planned 10 conditions
2026-04-05 16:11:32 | INFO | runner | Reusing pressure data file D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\data\pressure_data.bin (4.78 GiB)
2026-04-05 16:11:32 | INFO | inference_client | Running Ollama warmup request against model qwen3:4b
2026-04-05 16:11:32 | INFO | runner | Warmup completed in 736.62 ms
2026-04-05 16:11:32 | INFO | runner | Running condition=none trial=1 requested=0.00 B planned=0.00 B
2026-04-05 16:11:38 | INFO | runner | Completed run_id=pilot=1|mode=none|requested=0.0000|actual_bytes=0|trial=1 status=completed successes=5 errors=0 actual=0.00 B
2026-04-05 16:11:38 | INFO | runner | Running condition=file_seq trial=1 requested=979.84 MiB planned=979.84 MiB
2026-04-05 16:11:40 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=53328 requested=1027440640 actual=1027440640
2026-04-05 16:11:47 | INFO | runner | Completed run_id=pilot=1|mode=file_seq|requested=0.0100|actual_bytes=1027440640|trial=1 status=completed successes=5 errors=0 actual=979.84 MiB
2026-04-05 16:11:47 | INFO | runner | Running condition=file_seq trial=1 requested=1.91 GiB planned=1.91 GiB
2026-04-05 16:11:49 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=9004 requested=2054881280 actual=2054881280
2026-04-05 16:11:57 | INFO | runner | Completed run_id=pilot=1|mode=file_seq|requested=0.0200|actual_bytes=2054881280|trial=1 status=completed successes=5 errors=0 actual=1.91 GiB
2026-04-05 16:11:57 | INFO | runner | Running condition=file_seq trial=1 requested=4.78 GiB planned=4.78 GiB
2026-04-05 16:11:58 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=39632 requested=5137207296 actual=5137207296
2026-04-05 16:12:06 | INFO | runner | Completed run_id=pilot=1|mode=file_seq|requested=0.0500|actual_bytes=5137207296|trial=1 status=completed successes=5 errors=0 actual=4.78 GiB
2026-04-05 16:12:06 | INFO | runner | Running condition=mmap_random trial=1 requested=979.84 MiB planned=979.84 MiB
2026-04-05 16:12:08 | INFO | pressure_manager | Started pressure worker mode=mmap_random pid=35472 requested=1027440640 actual=1027440640
2026-04-05 16:12:15 | INFO | runner | Completed run_id=pilot=1|mode=mmap_random|requested=0.0100|actual_bytes=1027440640|trial=1 status=completed successes=5 errors=0 actual=979.84 MiB
2026-04-05 16:12:15 | INFO | runner | Running condition=mmap_random trial=1 requested=1.91 GiB planned=1.91 GiB
2026-04-05 16:12:17 | INFO | pressure_manager | Started pressure worker mode=mmap_random pid=32284 requested=2054881280 actual=2054881280
2026-04-05 16:12:25 | INFO | runner | Completed run_id=pilot=1|mode=mmap_random|requested=0.0200|actual_bytes=2054881280|trial=1 status=completed successes=5 errors=0 actual=1.91 GiB
2026-04-05 16:12:25 | INFO | runner | Running condition=mmap_random trial=1 requested=4.78 GiB planned=4.78 GiB
2026-04-05 16:12:26 | INFO | pressure_manager | Started pressure worker mode=mmap_random pid=22952 requested=5137207296 actual=5137207296
2026-04-05 16:12:34 | INFO | runner | Completed run_id=pilot=1|mode=mmap_random|requested=0.0500|actual_bytes=5137207296|trial=1 status=completed successes=5 errors=0 actual=4.78 GiB
2026-04-05 16:12:34 | INFO | runner | Running condition=anon trial=1 requested=979.84 MiB planned=979.84 MiB
2026-04-05 16:12:37 | INFO | pressure_manager | Started pressure worker mode=anon pid=47656 requested=1027440640 actual=1027440640
2026-04-05 16:12:44 | INFO | runner | Completed run_id=pilot=1|mode=anon|requested=0.0100|actual_bytes=1027440640|trial=1 status=completed successes=5 errors=0 actual=979.84 MiB
2026-04-05 16:12:44 | INFO | runner | Running condition=anon trial=1 requested=1.91 GiB planned=1.91 GiB
2026-04-05 16:12:48 | INFO | pressure_manager | Started pressure worker mode=anon pid=28048 requested=2054881280 actual=2054881280
2026-04-05 16:12:55 | INFO | runner | Completed run_id=pilot=1|mode=anon|requested=0.0200|actual_bytes=2054881280|trial=1 status=completed successes=5 errors=0 actual=1.91 GiB
2026-04-05 16:12:55 | INFO | runner | Running condition=anon trial=1 requested=4.78 GiB planned=4.78 GiB
2026-04-05 16:13:01 | INFO | pressure_manager | Started pressure worker mode=anon pid=31884 requested=5137207296 actual=5137207296
2026-04-05 16:13:09 | INFO | runner | Completed run_id=pilot=1|mode=anon|requested=0.0500|actual_bytes=5137207296|trial=1 status=completed successes=5 errors=0 actual=4.78 GiB
2026-04-05 16:13:10 | INFO | __main__ | Benchmark finished. See D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\results\summary.md for the summary report.
