run_id,status,error,started_at_utc,ended_at_utc,pilot_mode,condition_name,pressure_mode,requested_fraction_of_ram,actual_fraction_of_ram,requested_size_bytes,actual_size_bytes,trial_id,num_requests,successful_requests,error_requests,stabilization_seconds,wall_time_s,inference_batch_time_s,pressure_worker_pid,size_capped,host_name,platform_system,platform_release,python_version,model_name,prompt_id,page_fault_support,system_memory_total_bytes_before,system_memory_total_bytes_after,system_memory_total_bytes_delta,system_memory_available_bytes_before,system_memory_available_bytes_after,system_memory_available_bytes_delta,system_memory_used_bytes_before,system_memory_used_bytes_after,system_memory_used_bytes_delta,system_swap_used_bytes_before,system_swap_used_bytes_after,system_swap_used_bytes_delta,system_disk_read_bytes_before,system_disk_read_bytes_after,system_disk_read_bytes_delta,system_disk_write_bytes_before,system_disk_write_bytes_after,system_disk_write_bytes_delta,system_disk_read_count_before,system_disk_read_count_after,system_disk_read_count_delta,system_disk_write_count_before,system_disk_write_count_after,system_disk_write_count_delta,managed_process_count_before,managed_process_count_during,managed_process_count_delta,managed_rss_bytes_before,managed_rss_bytes_during,managed_rss_bytes_delta,managed_vms_bytes_before,managed_vms_bytes_during,managed_vms_bytes_delta,managed_cpu_user_seconds_before,managed_cpu_user_seconds_during,managed_cpu_user_seconds_delta,managed_cpu_system_seconds_before,managed_cpu_system_seconds_during,managed_cpu_system_seconds_delta,managed_io_read_bytes_before,managed_io_read_bytes_during,managed_io_read_bytes_delta,managed_io_write_bytes_before,managed_io_write_bytes_during,managed_io_write_bytes_delta,managed_minor_faults_before,managed_minor_faults_during,managed_minor_faults_delta,managed_major_faults_before,managed_major_faults_during,managed_major_faults_delta,managed_page_faults_total_before,managed_page_faults_total_during,managed_page_faults_total_delta
pilot=1|mode=none|requested=0.0000|actual_bytes=0|trial=1,completed,,2026-04-05T21:10:15.381878+00:00,2026-04-05T21:10:21.034404+00:00,True,none_baseline,none,0.0,0.0,0,0,1,5,5,0,0.0,5.653304499981459,5.087101000011899,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71296118784.0,71344996352.0,48877568.0,31448104960.0,31399227392.0,-48877568.0,0.0,0.0,0.0,41962178560.0,42774370816.0,812192256.0,76101902336.0,76106559488.0,4657152.0,812636.0,819436.0,6800.0,3747801.0,3747836.0,35.0,1.0,1.0,0.0,121675776.0,125964288.0,4288512.0,865603584.0,866107392.0,503808.0,0.484375,0.515625,0.03125,2.921875,3.03125,0.109375,24263477.0,24603937.0,340460.0,5137209338.0,5137211028.0,1690.0,,,,,,,66838.0,66846.0,8.0
pilot=1|mode=file_seq|requested=0.0100|actual_bytes=1027440640|trial=1,failed,[WinError 5] 拒绝访问。,2026-04-05T21:10:21.035953+00:00,2026-04-05T21:10:21.058278+00:00,True,file_seq__req_0.01x__actual_0.01x,file_seq,0.01,0.009999984452264646,1027440640,1027440640,1,5,0,0,2.0,0.023132900008931756,0.0,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71344787456.0,71341301760.0,-3485696.0,31399436288.0,31402921984.0,3485696.0,0.0,0.0,0.0,42774370816.0,42774617600.0,246784.0,76106559488.0,76106559488.0,0.0,819436.0,819448.0,12.0,3747836.0,3747836.0,0.0,1.0,1.0,0.0,125972480.0,125972480.0,0.0,866107392.0,866107392.0,0.0,0.515625,0.515625,0.0,3.03125,3.03125,0.0,24603937.0,24603937.0,0.0,5137214489.0,5137214489.0,0.0,,,,,,,66847.0,66847.0,0.0
pilot=1|mode=file_seq|requested=0.0200|actual_bytes=2054881280|trial=1,failed,[WinError 5] 拒绝访问。,2026-04-05T21:10:21.059279+00:00,2026-04-05T21:10:21.060279+00:00,True,file_seq__req_0.02x__actual_0.02x,file_seq,0.02,0.01999996890452929,2054881280,2054881280,1,5,0,0,2.0,0.0014375000027939677,0.0,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71340843008.0,71340838912.0,-4096.0,31403380736.0,31403384832.0,4096.0,0.0,0.0,0.0,42774617600.0,42774617600.0,0.0,76106559488.0,76106559488.0,0.0,819448.0,819448.0,0.0,3747836.0,3747836.0,0.0,1.0,1.0,0.0,126435328.0,126435328.0,0.0,867168256.0,867168256.0,0.0,0.515625,0.515625,0.0,3.03125,3.03125,0.0,24799710.0,24799710.0,0.0,5137218178.0,5137218178.0,0.0,,,,,,,66964.0,66964.0,0.0
pilot=1|mode=file_seq|requested=0.0500|actual_bytes=5137207296|trial=1,failed,[WinError 5] 拒绝访问。,2026-04-05T21:10:21.062280+00:00,2026-04-05T21:10:21.062280+00:00,True,file_seq__req_0.05x__actual_0.05x,file_seq,0.05,0.049999962127311316,5137207296,5137207296,1,5,0,0,2.0,0.0011027000145986676,0.0,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71340077056.0,71339945984.0,-131072.0,31404146688.0,31404277760.0,131072.0,0.0,0.0,0.0,42774617600.0,42774617600.0,0.0,76106559488.0,76106559488.0,0.0,819448.0,819448.0,0.0,3747836.0,3747836.0,0.0,1.0,1.0,0.0,126455808.0,126455808.0,0.0,867168256.0,867168256.0,0.0,0.515625,0.515625,0.0,3.03125,3.03125,0.0,24799710.0,24799710.0,0.0,5137221851.0,5137221851.0,0.0,,,,,,,66967.0,66967.0,0.0
pilot=1|mode=mmap_random|requested=0.0100|actual_bytes=1027440640|trial=1,failed,[WinError 5] 拒绝访问。,2026-04-05T21:10:21.063279+00:00,2026-04-05T21:10:21.064280+00:00,True,mmap_random__req_0.01x__actual_0.01x,mmap_random,0.01,0.009999984452264646,1027440640,1027440640,1,5,0,0,2.0,0.0010145999840460718,0.0,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71339945984.0,71339945984.0,0.0,31404277760.0,31404277760.0,0.0,0.0,0.0,0.0,42774617600.0,42774617600.0,0.0,76106559488.0,76106559488.0,0.0,819448.0,819448.0,0.0,3747836.0,3747836.0,0.0,1.0,1.0,0.0,126459904.0,126459904.0,0.0,867168256.0,867168256.0,0.0,0.53125,0.53125,0.0,3.03125,3.03125,0.0,24799710.0,24799710.0,0.0,5137225543.0,5137225543.0,0.0,,,,,,,66969.0,66969.0,0.0
pilot=1|mode=mmap_random|requested=0.0200|actual_bytes=2054881280|trial=1,failed,[WinError 5] 拒绝访问。,2026-04-05T21:10:21.065283+00:00,2026-04-05T21:10:21.066280+00:00,True,mmap_random__req_0.02x__actual_0.02x,mmap_random,0.02,0.01999996890452929,2054881280,2054881280,1,5,0,0,2.0,0.0009797999518923461,0.0,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71339675648.0,71339536384.0,-139264.0,31404548096.0,31404687360.0,139264.0,0.0,0.0,0.0,42774617600.0,42774617600.0,0.0,76106559488.0,76106559488.0,0.0,819448.0,819448.0,0.0,3747836.0,3747836.0,0.0,1.0,1.0,0.0,126484480.0,126484480.0,0.0,867168256.0,867168256.0,0.0,0.53125,0.53125,0.0,3.03125,3.03125,0.0,24799710.0,24799710.0,0.0,5137229233.0,5137229233.0,0.0,,,,,,,66975.0,66975.0,0.0
pilot=1|mode=mmap_random|requested=0.0500|actual_bytes=5137207296|trial=1,failed,[WinError 5] 拒绝访问。,2026-04-05T21:10:21.066280+00:00,2026-04-05T21:10:21.067280+00:00,True,mmap_random__req_0.05x__actual_0.05x,mmap_random,0.05,0.049999962127311316,5137207296,5137207296,1,5,0,0,2.0,0.0010204000282101333,0.0,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71339405312.0,71339339776.0,-65536.0,31404818432.0,31404883968.0,65536.0,0.0,0.0,0.0,42774617600.0,42774617600.0,0.0,76106559488.0,76106559488.0,0.0,819448.0,819448.0,0.0,3747836.0,3747836.0,0.0,1.0,1.0,0.0,126500864.0,126500864.0,0.0,867168256.0,867168256.0,0.0,0.53125,0.53125,0.0,3.03125,3.03125,0.0,24799710.0,24799710.0,0.0,5137232929.0,5137232929.0,0.0,,,,,,,66979.0,66979.0,0.0
pilot=1|mode=anon|requested=0.0100|actual_bytes=1027440640|trial=1,failed,[WinError 5] 拒绝访问。,2026-04-05T21:10:21.068280+00:00,2026-04-05T21:10:21.069280+00:00,True,anon__req_0.01x__actual_0.01x,anon,0.01,0.009999984452264646,1027440640,1027440640,1,5,0,0,2.0,0.0009649000130593777,0.0,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71339274240.0,71339143168.0,-131072.0,31404949504.0,31405080576.0,131072.0,0.0,0.0,0.0,42774617600.0,42774617600.0,0.0,76106559488.0,76106559488.0,0.0,819448.0,819448.0,0.0,3747836.0,3747836.0,0.0,1.0,1.0,0.0,126513152.0,126513152.0,0.0,867168256.0,867168256.0,0.0,0.53125,0.53125,0.0,3.03125,3.03125,0.0,24799710.0,24799710.0,0.0,5137236618.0,5137236618.0,0.0,,,,,,,66983.0,66983.0,0.0
pilot=1|mode=anon|requested=0.0200|actual_bytes=2054881280|trial=1,failed,[WinError 5] 拒绝访问。,2026-04-05T21:10:21.070280+00:00,2026-04-05T21:10:21.070280+00:00,True,anon__req_0.02x__actual_0.02x,anon,0.02,0.01999996890452929,2054881280,2054881280,1,5,0,0,2.0,0.0009697999921627343,0.0,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71339143168.0,71339143168.0,0.0,31405080576.0,31405080576.0,0.0,0.0,0.0,0.0,42774617600.0,42774617600.0,0.0,76106559488.0,76106559488.0,0.0,819448.0,819448.0,0.0,3747836.0,3747836.0,0.0,1.0,1.0,0.0,126525440.0,126525440.0,0.0,867168256.0,867168256.0,0.0,0.53125,0.53125,0.0,3.03125,3.03125,0.0,24799710.0,24799710.0,0.0,5137240270.0,5137240270.0,0.0,,,,,,,66985.0,66985.0,0.0
pilot=1|mode=anon|requested=0.0500|actual_bytes=5137207296|trial=1,failed,[WinError 5] 拒绝访问。,2026-04-05T21:10:21.071280+00:00,2026-04-05T21:10:21.072290+00:00,True,anon__req_0.05x__actual_0.05x,anon,0.05,0.049999962127311316,5137207296,5137207296,1,5,0,0,2.0,0.0010569000151008368,0.0,,False,Mac,Windows,11,3.12.3,qwen3:4b,locality_prompt_v1,Windows exposes total process page-fault counts via GetProcessMemoryInfo; minor and major faults are unavailable.,102744223744.0,102744223744.0,0.0,71339077632.0,71339012096.0,-65536.0,31405146112.0,31405211648.0,65536.0,0.0,0.0,0.0,42774617600.0,42774617600.0,0.0,76106559488.0,76106559488.0,0.0,819448.0,819448.0,0.0,3747836.0,3747836.0,0.0,1.0,1.0,0.0,126550016.0,126550016.0,0.0,867168256.0,867168256.0,0.0,0.53125,0.53125,0.0,3.03125,3.03125,0.0,24799710.0,24799710.0,0.0,5137243906.0,5137243906.0,0.0,,,,,,,66990.0,66990.0,0.0
