provider,condition,mode,n,median_s,min_s,max_s,paired_slowdown,completed,word_count_pass,median_words,median_calls,total_rejections,first_call_ttft_s,median_action_ttft_s,decode_tps,gpu_util_percent,cpu_percent,game_raf_fps,video_drop_pct,video_fps,peak_gpu_gb,min_available_gb,total_os_page_in_mb
local,browser,agentic,3,11.73698325001169,11.722195249982178,11.925256916962098,1.0425109301678752,3,0,93,6,3,0.20389237499330193,1.027585750009166,81.20823899275244,85.5,24.9,,,,6.040549572,3.570171904,162.709504
local,browser,one_shot,3,4.614719125034753,4.03280912496848,4.63757020898629,1.1885219456789549,3,0,174,1,0,1.2461198749952018,1.2461198749952018,78.34168560273386,83,24.45,,,,5.982733668,3.240689664,95.862784
local,combined,agentic,3,14.623765708995052,14.132355458044913,15.07643391599413,1.2989228379299533,3,0,93,6,3,0.24081541603663936,1.27295858351863,67.86098710555311,90,25.4,120.03303653008703,0.0,59.975923680676715,6.040549572,2.95714816,153.911296
local,combined,one_shot,3,5.37651662499411,4.907010166964028,5.425341250025667,1.388394932223951,3,0,174,1,0,1.4150208749924786,1.4150208749924786,65.9227582284492,85.0,23.6,120.08638205311874,0.0,60.02941326856557,5.982733668,3.247456256,85.721088
local,game,agentic,3,13.565480999997817,13.54191512503894,13.70351566694444,1.2049230977191927,3,0,93,6,3,0.23894837498664856,1.2217880205134861,71.80244736140853,94.5,14.1,120.05168482803788,,,6.040549572,4.182212608,44.285952
local,game,one_shot,3,4.616461624973454,4.558296917006373,4.626483667001594,1.1921235201102927,3,0,174,1,0,0.8816295410506427,0.8816295410506427,70.23510246801489,92,12.2,120.04095828730382,,,5.982733668,6.339657728,6.651904
local,quiet,agentic,3,11.264282040996477,11.258379083010368,11.358406166022178,1.0,3,0,93,6,3,0.20129533403087407,1.00718777050497,86.2985386518481,94,14.8,,,,6.040549572,4.26467328,109.740032
local,quiet,one_shot,3,3.8724692090181634,3.813389874994755,3.882737834006548,1.0,3,0,174,1,0,0.7345875410246663,0.7345875410246663,83.86306366601417,92.5,13.85,,,,5.982733668,6.044942336,39.600128
local,video,agentic,3,11.309768082981464,11.296890042023733,11.401117750036065,1.003760350122155,3,0,93,6,3,0.20177695801248774,1.0088034164800774,85.45372651713315,93.5,15.6,,0.0,59.955498304929684,6.040549572,3.882696704,31.916032
local,video,one_shot,3,3.8801918330136687,3.7994856250006706,3.9202332089771517,1.0019942376759305,3,0,174,1,0,0.7337843329878524,0.7337843329878524,83.44928062026096,90.0,15.350000000000001,,0.0,60.01809660556619,5.982733668,5.73595648,70.20544
cloud,combined,agentic,3,39.63750854099635,39.44396187498933,40.61742208304349,0.8650643140206604,3,2,227,5,0,,,,60,16.4,119.99763828334063,0.0,59.97248076627889,0,7.588610048,46.497792000000004
cloud,combined,one_shot,3,20.78197516698856,16.398120625002775,21.615928667015396,1.0173947595183133,3,3,227,1,0,,,,59,15.9,119.98905351614717,0.0,59.973205653120054,0,7.599357952,16.13824
cloud,quiet,agentic,3,46.95306629198603,43.74566016701283,49.02703695802484,1.0,3,2,226,5,0,,,,0.0,9.1,,,,0,10.037248,104.415232
cloud,quiet,one_shot,3,21.165403500024695,19.13976183300838,21.246353457972873,1.0,3,2,229,1,0,,,,0,8.5,,,,0,10.158997504,62.980096
