model,rep,condition,mode,quiet_s,loaded_s,latency_ratio,quiet_effective_tps,loaded_effective_tps,throughput_ratio,same_prompts,exact_work_match,quiet_tokens,loaded_tokens,cache_match,quiet_cached,loaded_cached,quiet_reasoning,loaded_reasoning,cached_delta,reasoning_delta,campaign
cloud,0,combined,one_shot,19.703765624959487,22.71274612500565,1.1527109364432644,18.321370994319377,16.20235606802515,0.8843419017631794,True,False,361,368,True,7424,7424,66,77,0,11,rerun_20260911
cloud,0,combined,agentic,42.64853708300507,41.34198295796523,0.9693646203503546,9.777592117366424,9.989844957846381,1.02170808906039,True,False,417,413,True,37120,37120,160,86,0,-74,rerun_20260911
cloud,1,combined,one_shot,18.916761166008655,19.840131208999082,1.0488122694412203,19.136468279277867,18.80027889285403,0.9824320046145671,True,False,362,373,True,7424,7424,122,117,0,-5,rerun_20260911
cloud,1,combined,agentic,41.22012937499676,36.796001165988855,0.8926706859951904,9.970856623494823,11.441460665816512,1.1474902405934142,True,False,411,421,False,37120,36096,122,95,-1024,-27,rerun_20260911
cloud,2,combined,one_shot,16.48722558299778,20.366365332971327,1.235281535419389,22.017045752945762,17.528900918911088,0.7961513599782485,True,False,363,357,True,7424,7424,66,116,0,50,rerun_20260911
cloud,2,combined,agentic,37.236820042016916,42.14302737498656,1.1317568827690878,11.144882928556369,10.037247591070454,0.9006148970261646,True,False,415,423,True,37120,37120,96,165,0,69,rerun_20260911
cloud,3,combined,one_shot,18.0527752499911,17.562827792018652,0.9728602693387716,19.609173387353533,20.270084306229013,1.0337041702788818,True,False,354,356,True,7424,7424,111,103,0,-8,rerun_20260911
cloud,3,combined,agentic,43.42371575004654,41.84006308304379,0.963530235963258,9.787278510350522,9.799220407154635,1.0012201447819724,True,False,425,410,True,37120,37120,151,132,0,-19,rerun_20260911
cloud,4,combined,one_shot,19.507123166986275,19.963751874980517,1.0234083059857353,18.095953820469788,18.28313647082714,1.0103438952273196,True,False,353,365,True,7424,7424,116,168,0,52,rerun_20260911
cloud,4,combined,agentic,41.53360883303685,44.50722987501649,1.071595537337809,9.91967737877584,9.05470866489982,0.9128027373423749,True,False,412,403,False,29696,37120,119,188,7424,69,rerun_20260911
cloud,5,combined,one_shot,17.180621540988795,20.773587458010297,1.2091289833985084,21.128455634388434,17.570388395253126,0.8315983287796843,True,False,363,365,True,7424,7424,69,193,0,124,rerun_20260911
cloud,5,combined,agentic,44.21202783298213,41.783630792051554,0.9450738371444027,9.590150481261038,10.291111419685393,1.0730917559421012,True,False,424,430,True,37120,37120,68,159,0,91,rerun_20260911
cloud_agent,0,combined,agentic,38.8300894999993,37.98249462497188,0.9781716991657349,10.996626726806994,11.005069680841414,1.000767776723187,False,False,427,418,False,37120,37120,121,174,0,53,rerun_20260911
cloud_agent,1,combined,agentic,41.95138304197462,38.60908654204104,0.9203292893445388,9.91624041533433,10.645162494390181,1.0735079070822704,False,False,416,411,False,37120,37120,170,112,0,-58,rerun_20260911
cloud_agent,2,combined,agentic,43.718167292070575,34.54383970901836,0.790148394790643,9.744232807244556,12.071616922514083,1.2388473429677485,False,False,426,417,False,29696,37120,128,96,7424,-32,rerun_20260911
