model,rep,condition,completed,stop_reason,trial_seconds,swapout_mib,swapin_mib,pagein_gib,minimum_available_gib,maximum_thermal_state
9b,0,browser,True,,39.35329912498128,1164.5,313.5625,8.068450927734375,2.2509002685546875,0
9b,0,combined,True,,38.00842429208569,1150.125,315.34375,7.8300628662109375,2.50518798828125,0
9b,0,fault,True,,32.944530249922536,0.0,39.1875,37.205322265625,2.9889068603515625,1
9b,0,game,True,,33.500439541065134,0.0,102.875,8.19073486328125,3.147979736328125,0
9b,0,gpu,True,,102.79001212492585,0.0,544.109375,10.170394897460938,2.4058837890625,1
9b,0,quiet,True,,34.13984300009906,0.0,1.1875,7.686553955078125,2.689178466796875,0
9b,0,video,True,,35.99820491706487,0.0,18.046875,7.981475830078125,2.6194305419921875,0
9b,1,browser,True,,38.3782697499264,887.3125,90.71875,7.447509765625,3.0538482666015625,1
9b,1,combined,True,,37.21387087495532,848.25,33.25,7.875823974609375,2.8982086181640625,1
9b,1,fault,True,,33.03779320907779,0.0,15.03125,33.44561767578125,3.092620849609375,1
9b,1,game,True,,32.97676337498706,0.0,64.34375,7.751068115234375,3.632843017578125,1
9b,1,gpu,True,,94.15100054210052,0.0,34.890625,7.52001953125,3.2333221435546875,1
9b,1,quiet,True,,30.961783041013405,0.0,15.5625,7.48406982421875,3.642669677734375,1
9b,1,video,True,,32.51417266600765,0.0,29.96875,7.3654022216796875,3.3185577392578125,1
9b,2,browser,True,,37.628793374984525,473.625,48.375,7.455474853515625,2.960723876953125,1
9b,2,combined,True,,36.31543233303819,537.125,39.71875,7.2136993408203125,3.3929290771484375,1
9b,2,fault,True,,29.95148166595027,0.0,46.6875,14.945556640625,3.6643524169921875,1
9b,2,game,True,,35.410001834039576,0.0,60.203125,7.5642547607421875,3.2265472412109375,1
9b,2,gpu,True,,90.91378004197031,0.0,192.296875,7.67376708984375,4.1014404296875,1
9b,2,quiet,True,,34.70867887500208,0.0,66.359375,7.56024169921875,3.403564453125,1
9b,2,video,True,,32.85739233298227,0.0,20.8125,7.7365570068359375,3.1055450439453125,1
35b,0,combined,True,,1044.9854706670158,0.0,281.0,260.6304931640625,3.0763397216796875,0
35b,0,quiet,True,,906.2997969170101,0.0,253.59375,160.56004333496094,4.4570465087890625,0
35b,1,combined,True,,1037.8294640419772,61.21875,841.078125,248.74119567871094,2.7342529296875,0
35b,1,quiet,True,,910.8032324999804,0.0,213.90625,172.71226501464844,4.231536865234375,0
35b,2,combined,True,,1011.2289503749926,691.0,341.203125,279.0740051269531,2.9683837890625,0
35b,2,quiet,True,,921.5744332079776,0.0,162.90625,261.46044921875,3.242645263671875,0
