trial_start_unix,task_start_unix,model,rep,condition,mode,wall_s,calls,words,word_count_pass,answer_sha256,prompt_signature,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,decode_tps,work_signature,cache_signature,normalized_citations,unread_citations,citation_check_pass,mechanical_final_pass,opened_sources,task_status,generated_tokens,effective_tps,trial_host_swapout_bytes,campaign,peak_mlx_gb,first_ttft_s
1789141904.2916532,,cloud,0,combined,one_shot,22.71274612500565,1,233,False,1ad964f33ac0bf77f46b2e5156f31e5181d2838c832d8f31874e990ba349b540,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,445,77,,"[[11943, 7424, 445, 77]]","[[11943, 7424]]","S1,S2,S3,S4,S5,S6",,True,False,,trace_replay_complete,368,16.20235606802515,0,rerun_20260911,,
1789141904.2916532,,cloud,0,combined,agentic,41.34198295796523,5,223,True,63f8aa8a5eb2ba495214d73522af35f5aa4c2ac091c05babba9b6b6519f0edf5,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,499,86,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 31, 15], [12714, 7424, 426, 71]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,413,9.989844957846381,0,rerun_20260911,,
1789141827.642926,,cloud,0,quiet,one_shot,19.703765624959487,1,230,True,706d498a26ac7720aa3ea55fb5314e3b82e1ae3c20dcaafbd309803630dea179,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,427,66,,"[[11943, 7424, 427, 66]]","[[11943, 7424]]","S1,S2,S3,S4,S5,S6",,True,True,,trace_replay_complete,361,18.321370994319377,0,rerun_20260911,,
1789141827.642926,,cloud,0,quiet,agentic,42.64853708300507,5,221,True,7d2fbb29c0ab6fb2abab3b6d3cdb22cfd8bc5ff0d7459b2b8cd7595c4f4da1e0,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,577,160,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 44, 28], [12522, 7424, 33, 17], [12714, 7424, 472, 115]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,417,9.777592117366424,0,rerun_20260911,,
1789141984.563453,,cloud,1,combined,one_shot,19.840131208999082,1,234,False,8c9582a7245afcebcbdab9fa58e69a2db51c93a2ed117493926a197aa416d385,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,490,117,,"[[11943, 7424, 490, 117]]","[[11943, 7424]]","S1,S2,S3,S4,S5,S6",,True,False,,trace_replay_complete,373,18.80027889285403,0,rerun_20260911,,
1789141984.563453,,cloud,1,combined,agentic,36.796001165988855,5,221,True,8b07852992782af710577e72769b2d38986d0d5ae73fd00cfd45879fb91c65d0,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,36096,516,95,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 6400, 30, 14], [12714, 7424, 444, 81]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 6400], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,421,11.441460665816512,0,rerun_20260911,,
1789142057.687367,,cloud,1,quiet,one_shot,18.916761166008655,1,231,False,b5e8ece7e037700bd2b11d774b3f6b7647f2c2b520c8465d6b28bc7d4b25405b,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,484,122,,"[[11943, 7424, 484, 122]]","[[11943, 7424]]","S1,S2,S3,S4,S5,S6",,True,False,,trace_replay_complete,362,19.136468279277867,0,rerun_20260911,,
1789142057.687367,,cloud,1,quiet,agentic,41.22012937499676,5,223,True,7e90f6c093a165b355c2b56e11f20f32decdc6d687f61e1e784ad91d6f960b6a,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,533,122,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 41, 25], [12714, 7424, 450, 97]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,411,9.970856623494823,0,rerun_20260911,,
1789142132.5139148,,cloud,2,combined,one_shot,20.366365332971327,1,223,True,c71d872839f26dd2793d8db64fcec989a23e7c04080a4525aa04ddafcef27bbc,fb3ff0c4306762d3b3f99c7fa605d504b90c5b55e2378c457d09f9bb90ac1727,11943,7424,473,116,,"[[11943, 7424, 473, 116]]","[[11943, 7424]]","S1,S2,S4,S5,S6",,True,True,,trace_replay_complete,357,17.528900918911088,0,rerun_20260911,,
1789142132.5139148,,cloud,2,combined,agentic,42.14302737498656,5,223,True,a38ff8a566b7a8029f6c2edd88508ae916d719b18450663d8bd532b2f0c24ad9,80057c390f453c4ceee1fc48dce9d879111e81d6c345cb214e816e63d168bb02,60910,37120,588,165,,"[[11123, 7424, 14, 0], [12206, 7424, 14, 0], [12345, 7424, 14, 0], [12522, 7424, 33, 17], [12714, 7424, 513, 148]]","[[11123, 7424], [12206, 7424], [12345, 7424], [12522, 7424], [12714, 7424]]","S1,S2,S4,S5",,True,True,,trace_replay_complete,423,10.037247591070454,0,rerun_20260911,,
