model,condition,mode,n,wall_s_median,wall_s_min,wall_s_max,effective_tps_median,effective_tps_min,effective_tps_max,decode_tps_median,decode_tps_min,decode_tps_max,generated_tokens_median,generated_tokens_min,generated_tokens_max,words_median,words_min,words_max,paired_latency_ratio,paired_throughput_ratio,exact_work_matches,campaign,cached_input_tokens_median,cached_input_tokens_min,cached_input_tokens_max,reasoning_output_tokens_median,reasoning_output_tokens_min,reasoning_output_tokens_max,cache_matches
4b,browser,agentic,3,13.59548433299642,11.572928959038109,14.097910666023381,34.643855890950256,33.409205885743894,40.69842661845455,67.94161209741102,67.81277333245586,80.60273505448552,471,471,471,88,88,88,1.0834372599820505,0.9229883786870751,3,rerun_20260911,,,,,,,
4b,browser,one_shot,3,4.663073500036262,4.5313062919303775,5.074946834007278,55.97166761321055,51.429110202896304,57.59928444139927,68.32557841099617,67.86623928147019,80.20637006887387,261,261,261,174,174,174,1.1031049274710651,0.9065320760487949,3,rerun_20260911,,,,,,,
4b,combined,agentic,3,14.916552290902473,12.800873417058028,15.36333129205741,31.575661105499588,30.6574134897097,36.79436431051343,62.46799441173235,62.0875761008694,73.947260747258,471,471,471,88,88,88,1.1887144397799079,0.8412449336319591,3,rerun_20260911,,,,,,,
4b,combined,one_shot,3,5.131648499984294,4.851532500004396,5.616481584031135,50.86084910157015,46.470374040231725,53.797434109688744,61.82699907903312,61.42392603760132,73.52126224497475,261,261,261,174,174,174,1.203956965775771,0.8305944717514459,3,rerun_20260911,,,,,,,
4b,fault,agentic,3,13.427106749964878,13.253927250043489,13.812331333057955,35.078294138179245,34.099963912154706,35.53663688613158,70.25824049419079,68.89001931743114,72.05610462130674,471,471,471,88,88,88,1.0635853551968406,0.9402160297843959,3,rerun_20260911,,,,,,,
4b,fault,one_shot,3,4.967312082997523,4.332683457992971,5.128599458024837,52.54350756284667,50.8910867647516,60.23980346833439,70.02730192827565,69.9736851370293,72.94258079054241,261,261,261,174,174,174,1.1425500060621279,0.875235214821419,3,rerun_20260911,,,,,,,
4b,game,agentic,3,14.534838084015064,12.271186541998759,14.548682250082493,32.40490174555094,32.37406604280806,38.38259636816526,64.82864013385344,64.44575373129699,77.11088909795009,471,471,471,88,88,88,1.152427374470709,0.8677336395790526,3,rerun_20260911,,,,,,,
4b,game,one_shot,3,4.964325999957509,4.260337125044316,5.021842792048119,52.57511291608044,51.97295311858084,61.26275746248252,64.11077425251715,63.549142935838525,76.62818751519882,261,261,261,174,174,174,1.1550928181333864,0.8657312938850973,3,rerun_20260911,,,,,,,
4b,gpu,agentic,3,63.50984483293723,63.44180683395825,72.2521287080599,7.416173055358054,6.518839076743476,7.424126510657475,12.382675342450552,11.583193049758567,12.42029489411997,471,471,471,88,88,88,5.061160792976129,0.19758313179612835,3,rerun_20260911,,,,,,,
4b,gpu,one_shot,3,24.602835375000723,24.167527084005997,25.211152250063606,10.608533367060842,10.35256133520599,10.799615496147684,12.64378337263535,11.940600453651438,12.647732746771284,261,261,261,174,174,174,5.798911297467951,0.1724461625127189,3,rerun_20260911,,,,,,,
4b,quiet,agentic,3,12.548474041977897,11.232161124935374,12.624380999943241,37.53444430170417,37.308759930654624,41.93315914551662,74.88027156193017,74.78798162212604,85.02672140970168,471,471,471,88,88,88,,,,rerun_20260911,,,,,,,
4b,quiet,one_shot,3,4.262318875058554,4.107774500036612,4.347566458047368,61.234273561105745,60.03358488445592,63.53805448611499,74.36929813191622,74.1575377034403,84.36066299511162,261,261,261,174,174,174,,,,rerun_20260911,,,,,,,
4b,video,agentic,3,12.627517041983083,11.30674450006336,13.084114874945953,37.29949430549586,35.997849644525196,41.65655286518243,74.29556448698997,72.29325366803047,83.80542026819853,471,471,471,88,88,88,1.0066401625028696,0.9934036384100156,3,rerun_20260911,,,,,,,
4b,video,one_shot,3,4.306134416954592,3.9178390000015497,4.400610959040932,60.611205951296306,59.309946375464705,66.61835772217714,74.05748461039776,73.68876350779537,83.45772606071121,261,261,261,174,174,174,1.0102797428302301,0.9898248550431863,3,rerun_20260911,,,,,,,
cloud,combined,agentic,6,41.81184693754767,36.796001165988855,44.50722987501649,10.013546274458417,9.05470866489982,11.441460665816512,,,,417.0,403,430,224.5,221,230,0.9664474281568063,1.0114641169211813,0,rerun_20260911,37120.0,36096,37120,145.5,86,188,4
cloud,combined,one_shot,6,20.165058603975922,17.562827792018652,22.71274612500565,17.926762433040132,16.20235606802515,20.270084306229013,,,,365.0,356,373,230.0,220,234,1.1007616029422422,0.9333869531888732,0,rerun_20260911,7424.0,7424,7424,116.5,77,193,6
cloud,quiet,agentic,6,42.09107295802096,37.236820042016916,44.21202783298213,9.853477944563181,9.590150481261038,11.144882928556369,,,,416.0,411,425,228.0,221,232,,,,rerun_20260911,37120.0,29696,37120,120.5,68,160,
cloud,quiet,one_shot,6,18.484768207999878,16.48722558299778,19.703765624959487,19.3728208333157,18.095953820469788,22.017045752945762,,,,361.5,353,363,227.5,221,231,,,,rerun_20260911,7424.0,7424,7424,90.0,66,122,
cloud_agent,combined,agentic,3,37.98249462497188,34.54383970901836,38.60908654204104,11.005069680841414,10.645162494390181,12.071616922514083,,,,417,411,418,225,221,231,0.9203292893445388,1.0735079070822704,0,rerun_20260911,37120,37120,37120,112,96,174,0
cloud_agent,quiet,agentic,3,41.95138304197462,38.8300894999993,43.718167292070575,9.91624041533433,9.744232807244556,10.996626726806994,,,,426,416,427,226,221,229,,,,rerun_20260911,37120,29696,37120,128,121,170,
35b,combined,agentic,3,471.0623343749903,465.88399187498726,493.27736637496855,0.5073638509372805,0.4845144259433187,0.5130032458040154,0.774625900252946,0.7406590613576491,0.7869867764279024,239,239,239,127,127,127,1.1496604566721762,0.86982203675563,3,paging_rerun_20260911,,,,,,,
35b,combined,one_shot,3,466.70165491697844,459.0923710410716,484.6274733330356,0.6942336642402444,0.66855475149125,0.7057403268655364,0.7793238174462459,0.7532081360436366,0.7929307705144001,324,324,324,211,211,211,1.145568737265168,0.8729288496361325,3,paging_rerun_20260911,,,,,,,
35b,quiet,agentic,3,417.753573832917,409.7403991249157,421.94158370792866,0.5721076131250272,0.5664291201159204,0.5832961565675079,0.8787260928998584,0.8702577645467241,0.8933709734256308,239,239,239,127,127,127,,,,paging_rerun_20260911,,,,,,,
