profiler,mode,rep,request,ttft_ms,mean_tpot_ms
passes,quiet,0,0,92.735459,15.417761317460316
passes,quiet,0,1,79.528171,15.269782460317462
passes,quiet,1,0,101.051896,15.327953507936506
passes,quiet,1,1,80.443326,15.341162079365077
passes,quiet,2,0,99.397455,15.290687904761906
passes,quiet,2,1,80.685755,15.438289698412698
passes,quiet,3,0,105.49345,15.512339999999998
passes,quiet,3,1,79.513732,15.500069650793654
passes,quiet,4,0,105.058791,15.547522111111114
passes,quiet,4,1,80.660924,15.256195857142858
passes,static,0,0,273.245504,50.51714084126984
passes,static,0,1,259.524848,50.265084984126986
passes,static,1,0,276.204652,49.63687936507936
passes,static,1,1,273.452186,49.55273215873016
passes,static,2,0,277.911047,49.56160414285714
passes,static,2,1,244.238716,50.62907453968254
passes,static,3,0,292.934583,49.91858285714286
passes,static,3,1,272.901506,48.14899763492064
passes,static,4,0,311.758663,48.35635136507937
passes,static,4,1,261.202057,49.00304815873016
passes,animated,0,0,359.970663,75.03104626984128
passes,animated,0,1,398.990727,67.30248636507936
passes,animated,1,0,390.970732,71.20450199999999
passes,animated,1,1,399.943439,76.15984438095238
passes,animated,2,0,392.635107,73.76677663492062
passes,animated,2,1,393.023759,69.87300584126986
passes,animated,3,0,391.433168,75.38898887301585
passes,animated,3,1,388.505333,68.4502744920635
passes,animated,4,0,392.948748,76.35123769841272
passes,animated,4,1,397.696849,63.4483586984127
passes,low_res,0,0,145.375889,22.406155158730158
passes,low_res,0,1,122.144814,22.50346785714286
passes,low_res,1,0,144.484909,22.995857301587304
passes,low_res,1,1,117.605217,22.447411047619045
passes,low_res,2,0,146.54708,22.520136492063497
passes,low_res,2,1,118.261284,22.36614317460317
passes,low_res,3,0,151.605162,22.664356968253966
passes,low_res,3,1,113.917587,22.624417142857144
passes,low_res,4,0,138.68431,22.753502984126982
passes,low_res,4,1,123.09395,22.496915063492057
passes,on_demand,0,0,93.777617,15.40626426984127
passes,on_demand,0,1,81.058057,15.288804571428571
passes,on_demand,1,0,98.59653,15.364158015873016
passes,on_demand,1,1,91.584545,15.350340746031744
passes,on_demand,2,0,98.1575,15.44513576190476
passes,on_demand,2,1,81.003475,15.245949460317457
passes,on_demand,3,0,105.933509,15.584920650793649
passes,on_demand,3,1,90.576,15.30459649206349
passes,on_demand,4,0,99.934894,15.399484634920633
passes,on_demand,4,1,80.868733,15.314007952380951
control,quiet,0,0,95.624196,15.453953968253968
control,quiet,0,1,79.10986,15.201540412698412
control,quiet,1,0,97.775215,15.353859222222221
control,quiet,1,1,80.493371,15.290139761904761
control,quiet,2,0,107.292222,15.212584301587302
control,quiet,2,1,80.528098,15.178869793650795
control,quiet,3,0,96.999072,15.343668000000003
control,quiet,3,1,79.018369,15.195198285714286
control,quiet,4,0,99.831183,15.19922088888889
control,quiet,4,1,80.293246,15.16684442857143
control,static,0,0,311.557402,50.445808587301585
control,static,0,1,311.296143,50.78278223809523
control,static,1,0,261.486433,49.05110944444445
control,static,1,1,258.761169,47.9892130952381
control,static,2,0,276.656079,48.53880036507935
control,static,2,1,260.952854,48.164803095238106
control,static,3,0,279.533552,48.796827126984134
control,static,3,1,259.748495,48.75274250793651
control,static,4,0,244.364753,49.43057957142859
control,static,4,1,273.233551,49.963602476190474
control,animated,0,0,397.558961,73.6812664920635
control,animated,0,1,392.59167,78.78793595238096
control,animated,1,0,393.542399,78.20219963492065
control,animated,1,1,402.442901,71.82772504761905
control,animated,2,0,393.218492,74.91315753968252
control,animated,2,1,381.446166,71.262946
control,animated,3,0,381.877471,67.35160036507936
control,animated,3,1,333.95448,74.68411246031744
control,animated,4,0,393.677119,67.41623223809525
control,animated,4,1,403.021268,69.62041395238094
control,low_res,0,0,142.82259,22.534811269841267
control,low_res,0,1,113.838461,22.38406692063492
control,low_res,1,0,140.56225,22.304491190476195
control,low_res,1,1,118.318657,22.32844136507937
control,low_res,2,0,139.293123,22.314945460317457
control,low_res,2,1,117.935683,22.312605761904756
control,low_res,3,0,131.046168,22.366281206349203
control,low_res,3,1,122.048281,22.062206619047622
control,low_res,4,0,147.282916,22.254618095238097
control,low_res,4,1,131.881009,22.47648176190476
control,on_demand,0,0,92.983191,15.274398317460316
control,on_demand,0,1,80.901331,15.218680682539684
control,on_demand,1,0,99.405245,15.226912936507938
control,on_demand,1,1,80.946766,15.256133285714284
control,on_demand,2,0,91.108154,15.35128942857143
control,on_demand,2,1,80.623035,15.22012358730159
control,on_demand,3,0,97.013624,15.171449761904762
control,on_demand,3,1,90.189909,15.156081396825396
control,on_demand,4,0,100.093844,15.231350904761904
control,on_demand,4,1,80.511917,15.224761873015872
