rep,mode,request,ttft_ms,mean_tpot_ms,p95_token_ms
0,quiet,0,99.362919,15.174107539682542,15.244350500000001
0,quiet,1,79.765387,15.227113587301588,15.2673338
1,quiet,0,98.092099,15.159271936507933,15.189634799999999
1,quiet,1,80.209227,15.127194841269842,15.1481407
2,quiet,0,99.46502,15.194187555555555,15.2641477
2,quiet,1,80.289522,15.315045222222224,15.769193699999999
3,quiet,0,101.173277,15.348672174603177,15.7600572
3,quiet,1,80.439022,15.17147746031746,15.2759306
4,quiet,0,107.198043,15.129477809523808,15.1713178
4,quiet,1,80.14932,15.139704793650793,15.1877548
0,static,0,278.247859,48.78650650793651,72.191633
0,static,1,366.728456,51.352422809523816,80.5711665
1,static,0,310.03124,48.233775174603174,71.86381340000001
1,static,1,239.822363,49.28069111111111,72.0178841
2,static,0,340.261701,49.56200319047619,72.4716878
2,static,1,259.606421,50.2197103015873,71.9405711
3,static,0,311.152351,52.55191185714286,85.1744463
3,static,1,243.507375,50.28148657142857,72.7094623
4,static,0,311.803166,50.87960755555555,79.96628609999999
4,static,1,395.824369,47.9160012063492,72.1225101
0,camera,0,311.84719,46.93726606349207,76.42024199999999
0,camera,1,358.815202,49.83003828571428,73.75057729999999
1,camera,0,306.873084,51.009354031746035,81.0144546
1,camera,1,240.82819,50.80574111111112,73.77582459999999
2,camera,0,292.31171,47.405898952380944,77.8456772
2,camera,1,259.553512,51.59565285714286,73.8061305
3,camera,0,280.224161,47.59474712698413,79.18814199999998
3,camera,1,270.853851,49.865993079365076,72.6941861
4,camera,0,376.610741,50.852632555555545,79.5711304
4,camera,1,354.703503,50.02664441269841,72.9055732
0,animated,0,406.418194,76.40597207936507,110.85708769999998
0,animated,1,396.821126,79.8916430952381,147.81863579999998
1,animated,0,375.861957,62.49550312698412,84.0150616
1,animated,1,400.405416,73.62596088888887,98.99138139999998
2,animated,0,359.12882,73.101237984127,99.18636959999998
2,animated,1,391.242002,63.63953214285714,82.341498
3,animated,0,378.749444,72.40763976190476,87.0821599
3,animated,1,397.177175,63.528651952380955,82.8853907
4,animated,0,358.932893,78.04877523809526,121.6175275
4,animated,1,399.968259,75.98219914285716,98.24395270000001
0,no_shadows,0,182.743124,31.934757492063493,53.098572499999996
0,no_shadows,1,167.480957,31.504577158730157,44.2038391
1,no_shadows,0,185.990543,31.995443063492065,45.9986577
1,no_shadows,1,179.396527,31.66947747619048,47.027088899999995
2,no_shadows,0,187.749841,31.228397126984124,51.353279699999995
2,no_shadows,1,157.05183,31.802387507936512,47.966756499999995
3,no_shadows,0,175.478999,32.11340950793651,46.0452832
3,no_shadows,1,158.063792,30.66646080952381,45.586759199999996
4,no_shadows,0,175.923621,32.2893136031746,47.222132099999996
4,no_shadows,1,158.548899,31.924243476190473,44.401514299999995
0,low_res,0,147.409291,22.276974206349205,29.4053859
0,low_res,1,133.117816,22.157867206349206,29.4374663
1,low_res,0,138.65271,22.228525968253972,29.3195968
1,low_res,1,121.826493,22.186776952380953,29.3400724
2,low_res,0,139.034459,22.10633915873016,29.4597606
2,low_res,1,122.419488,22.226126714285716,29.457635500000002
3,low_res,0,142.087697,22.251869984126994,29.3466673
3,low_res,1,118.385958,22.283247761904757,29.3069788
4,low_res,0,145.01935,22.303115111111115,29.6295964
4,low_res,1,132.248426,22.084300952380953,29.2183334
0,on_demand,0,103.769939,15.18625342857143,15.2415843
0,on_demand,1,80.915712,15.265539746031747,15.705445500000002
1,on_demand,0,98.028051,15.411735555555557,15.8334374
1,on_demand,1,89.217447,15.38346714285714,15.722382999999999
2,on_demand,0,97.587023,15.207103365079362,15.3175857
2,on_demand,1,89.025617,15.150314761904763,15.195033800000001
3,on_demand,0,98.019307,15.299344666666666,15.7432671
3,on_demand,1,82.141595,15.158272126984125,15.2436125
4,on_demand,0,98.03847,15.283155428571432,15.7238899
4,on_demand,1,80.907044,15.26706638095238,15.6739967
