context_length,energy_reduction_vs_gpu,fastest_e2e_ms,fastest_route,fastest_route_label,fastest_speedup_vs_gpu,lowest_energy_j,lowest_energy_route,lowest_energy_route_label,model,model_label,precision
1024,0.2746791810555167,903.782335,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,1.0141700634146606,20.752796211965624,npu_full,Whole NPU,llama32_1b,Llama 3.2 1B,FP16
2048,0.18556631600484064,1278.279285,gpu_full,Whole iGPU,1.0,31.684558524914166,npu_full,Whole NPU,llama32_1b,Llama 3.2 1B,FP16
4096,0.2226818314313188,2281.9070740000006,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,1.0250580322273017,56.32058538076437,npu_full,Whole NPU,llama32_1b,Llama 3.2 1B,FP16
8192,0.20420543272073532,5181.8904999999995,gpu_full,Whole iGPU,1.0,124.69915985880303,npu_full,Whole NPU,llama32_1b,Llama 3.2 1B,FP16
1024,0.19540322127024656,1925.750313,gpu_full,Whole iGPU,1.0,52.55018231241183,npu_full,Whole NPU,llama32_3b,Llama 3.2 3B,FP16
2048,0.16754371003704627,2669.789898,gpu_full,Whole iGPU,1.0,76.77005017567933,npu_full,Whole NPU,llama32_3b,Llama 3.2 3B,FP16
4096,0.16209415886103262,4817.310788000001,gpu_full,Whole iGPU,1.0,138.65458698340248,npu_full,Whole NPU,llama32_3b,Llama 3.2 3B,FP16
8192,0.13830998186133037,9914.871806000001,gpu_full,Whole iGPU,1.0,296.3685678572622,npu_full,Whole NPU,llama32_3b,Llama 3.2 3B,FP16
1024,0.2926491301048566,448.910874,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,1.0031266072650316,10.16254561750419,npu_full,Whole NPU,qwen25_0_5b,Qwen2.5 0.5B,FP16
2048,0.30858677875247864,649.6084900000001,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,1.0866252548515796,14.641903385774786,npu_full,Whole NPU,qwen25_0_5b,Qwen2.5 0.5B,FP16
4096,0.31031146893633876,1226.656404,npu_full,Whole NPU,1.1734453000092109,27.786917847685658,npu_full,Whole NPU,qwen25_0_5b,Qwen2.5 0.5B,FP16
8192,0.27977700757475366,3237.5821020000003,gpu_full,Whole iGPU,1.0,64.2541216746021,npu_full,Whole NPU,qwen25_0_5b,Qwen2.5 0.5B,FP16
1024,0.2712805152489458,1027.8184829999998,gpu_full,Whole iGPU,1.0,24.786369496670208,npu_full,Whole NPU,qwen25_1_5b,Qwen2.5 1.5B,FP16
2048,0.1782641637597281,1499.0987010000001,gpu_full,Whole iGPU,1.0,39.48190518484798,npu_full,Whole NPU,qwen25_1_5b,Qwen2.5 1.5B,FP16
4096,0.13327813418458756,2506.423129,gpu_full,Whole iGPU,1.0,70.63349411528053,npu_full,Whole NPU,qwen25_1_5b,Qwen2.5 1.5B,FP16
8192,0.17979357298094256,5366.970291,gpu_full,Whole iGPU,1.0,145.28672479830834,npu_full,Whole NPU,qwen25_1_5b,Qwen2.5 1.5B,FP16
1024,0.21503485413404744,1997.1055259999998,gpu_full,Whole iGPU,1.0,51.049921114854904,npu_full,Whole NPU,qwen25_3b,Qwen2.5 3B,FP16
2048,0.18921774302859118,2816.7750480000004,gpu_full,Whole iGPU,1.0,74.0294116716735,npu_full,Whole NPU,qwen25_3b,Qwen2.5 3B,FP16
4096,0.15880635525656595,4671.074817999999,gpu_full,Whole iGPU,1.0,131.26549072083276,npu_full,Whole NPU,qwen25_3b,Qwen2.5 3B,FP16
