granularity,stage,precision,npu_path,igpu_latency_ms,npu_latency_ms,latency_ratio_npu_over_gpu,igpu_energy_mj,npu_energy_mj,energy_ratio_npu_over_gpu
block,prefill,fp16,plain,6.616696,13.975925,2.112221,275.378430,335.367683,1.217843
block,prefill,int8,plain,6.162247,8.602266,1.395963,215.750590,185.036753,0.857642
block,decode,fp16,plain,2.636037,2.775329,1.052841,77.664634,37.655558,0.484848
block,decode,int8,plain,1.895122,1.555114,0.820588,51.798235,21.313397,0.411470
attention,prefill,fp16,npuw,1.808793,58.662922,32.432088,56.809498,1246.218367,21.936796
attention,prefill,int8,npuw,2.232130,6.577500,2.946738,66.277974,58.455640,0.881977
attention,decode,fp16,plain,0.733649,0.597155,0.813952,21.763342,6.022971,0.276748
attention,decode,int8,plain,0.933097,0.462047,0.495175,23.988303,3.740149,0.155916
ffn,prefill,fp16,plain,4.526580,11.710965,2.587155,207.719507,285.187257,1.372944
ffn,prefill,int8,plain,3.712957,6.600014,1.777563,144.907346,150.387687,1.037820
ffn,decode,fp16,plain,1.915735,2.050808,1.070507,59.464560,30.122638,0.506565
ffn,decode,int8,plain,0.941912,0.944413,1.002655,28.261966,15.110141,0.534646
