model,family,size_b,context_length,output_tokens,placement,placement_label,prefill_device,decode_device,execution_devices,repeat,compile_s,prefill_top1,first_decode_top1,final_top1,all_tokens_per_s_e2e,decode_tokens_per_s,end_to_end_ms,handoff_estimate_ms,handoff_plus_first_decode_ms,output_tokens_per_s_e2e,prefill_tokens_per_s,steady_tpot_ms,steady_tpot_p95_ms,ttft_ms,energy_net_core_j,energy_net_dram_j,energy_net_package-0_j,energy_net_psys_j,energy_net_uncore_j,prefill_energy_net_core_j,prefill_energy_net_dram_j,prefill_energy_net_package-0_j,prefill_energy_net_psys_j,prefill_energy_net_uncore_j,prefill_npu_utilization,first_decode_energy_net_core_j,first_decode_energy_net_dram_j,first_decode_energy_net_package-0_j,first_decode_energy_net_psys_j,first_decode_energy_net_uncore_j,first_decode_npu_utilization,steady_decode_energy_net_core_j,steady_decode_energy_net_dram_j,steady_decode_energy_net_package-0_j,steady_decode_energy_net_psys_j,steady_decode_energy_net_uncore_j,steady_decode_npu_utilization
llama32_1b_int8,Llama 3.2,1.0,1024,16,gpu_gpu,iGPU -> iGPU,GPU,GPU,GPU.0,0,0.9162126909941435,301,3862,42,1907.0153157882678,49.526583968453444,545.354823,22.403671,40.905667,29.33869716597335,4222.903747383753,18.501996,19.788875599999997,242.487175,4.869706007932407,1.0136573719555706,12.307904683242443,18.44812560932779,5.718044599519604,0.6917026424049043,0.29024254681472683,4.289281738717922,6.790169742052438,3.072187713166598,0.0,1.318040546862745,0.056330445959664154,1.5919852744704595,2.042851073408814,0.21848311164751041,0.0,2.8599628186647577,0.6670843791811797,6.4266376700540615,9.61510479386654,2.4273737747054946,0.0
llama32_1b_int8,Llama 3.2,1.0,1024,16,gpu_gpu,iGPU -> iGPU,GPU,GPU,GPU.0,1,0.9162126909941435,301,3862,42,1877.1956137916588,52.11187001048386,554.017915,8.331447500000001,26.744857,28.879932519871673,3847.084044604009,18.413409499999997,20.2119091,266.175625,4.700967129467138,1.034905828496558,12.135498375730915,18.316859724228774,5.647774833460066,1.1409228359195773,0.3226971371411773,4.849946278871778,7.611716878960388,3.136165133466296,0.0,0.8046229830903359,0.05041746201049467,1.002894154787824,1.275902863389692,0.1127371522941479,0.0,2.755421310457225,0.661791229344886,6.282657942071312,9.429239981878695,2.3988725476996224,0.0
llama32_1b_int8,Llama 3.2,1.0,1024,16,gpu_gpu,iGPU -> iGPU,GPU,GPU,GPU.0,2,0.9162126909941435,301,3862,42,1874.4622152133836,51.57508965667457,554.825801,8.235500499999999,26.420403,28.837880234052058,3878.9682801990316,18.1849025,21.177840149999998,263.98772199999996,5.016422372636692,1.0351010680282484,12.502466241335913,18.711188655114757,5.654793176666997,1.063876332435925,0.3220503843232001,4.772014392248202,7.530989531824492,3.134887620364849,0.0,0.8000503724406476,0.050706033399261,0.9976164502960959,1.2764119737101085,0.11115181767656346,0.0,3.1524956677601192,0.6623446503057873,6.7328353987916145,9.903787149580156,2.408753738625585,0.0
llama32_1b_int8,Llama 3.2,1.0,1024,16,gpu_npu,iGPU -> NPU,GPU,NPU,NPU,0,1.7086131712421775,301,3862,42,148.82096154622457,2.317364380536753,6988.262871000001,140.55098500000003,562.2811810000001,2.289553254557301,1986.8365443215084,421.730196,424.88146194999996,515.392171,10.080567498983621,8.080966807909084,56.685699284139446,104.05995965137166,6.054287046201612,1.2266840499226248,0.627001893221335,8.57041003200532,14.489235499544108,6.054287046201612,0.010644321564597457,3.848120450587567,0.5475095516457081,6.2569583621898435,10.463014295530266,0.0,0.8551628904684967,5.005762998473429,6.906455363042041,41.858330889944284,79.10770985629728,0.0,0.9975805257742854
llama32_1b_int8,Llama 3.2,1.0,1024,16,gpu_npu,iGPU -> NPU,GPU,NPU,NPU,1,1.7086131712421775,301,3862,42,150.89149588095285,2.353895594178355,6892.369871000001,43.915077000000025,466.545037,2.321407628937736,1969.4023420478834,422.62996,423.2597446500001,519.954698,2.32002070339317,7.992747300314696,45.117234500801,93.35507639640083,6.0119389102041385,0.7712993792780667,0.6311905381920431,8.023657017123492,13.62583379559878,5.992692689481595,0.007875686123716877,1.5487213241151034,0.49723351577379277,3.7155492270657917,6.816872880171758,0.019246220722543544,0.9898165522656711,0.0,6.86432324634886,33.378028256611714,72.9123697206303,0.0,0.9957714722090192
llama32_1b_int8,Llama 3.2,1.0,1024,16,gpu_npu,iGPU -> NPU,GPU,NPU,NPU,2,1.7086131712421775,301,3862,42,150.70276985745483,2.3498338641688186,6901.001229,43.98870450000003,466.693319,2.3185041516531513,1978.471670126976,422.7046145,423.438781,517.571222,2.448369351847128,8.018347048769025,47.3041686061112,97.37994485140828,6.059550494085931,0.9107496641662893,0.6291801905662201,8.204049433228311,13.797105319315746,6.040487577456527,0.007890701465623604,1.5376196876808388,0.5008813893007981,3.714288054694492,6.88731635109666,0.019062916629404472,0.9881778487598191,0.0,6.888285468902006,35.38583111818839,76.69552318099588,0.0,0.9962091116805163
llama32_1b_int8,Llama 3.2,1.0,1024,16,npu_gpu,NPU -> iGPU,NPU,GPU,NPU,0,2.2934929709881544,301,3862,42,179.8428590059773,2.9613857800809376,5782.826217,37.35544299999999,372.436059,2.7668132154765734,1426.91913066953,335.080616,335.84379624999997,717.630017,12.480687076334162,6.08270774485121,70.43160156286734,125.23488279425051,40.33087841814601,0.0,0.7770200368123166,6.576578220252771,10.994760008585816,0.0,0.9921365928593816,2.513008362246593,0.3621391094013646,5.861443099773321,9.390899873217428,2.5998762171383922,0.01082333437536455,9.967678714087569,4.943548598637529,57.99358024284125,104.84922291244726,37.73100220100761,0.016383321902239113
llama32_1b_int8,Llama 3.2,1.0,1024,16,npu_gpu,NPU -> iGPU,NPU,GPU,NPU,1,2.2934929709881544,301,3862,42,179.22922401211247,2.9518512264478702,5802.625134,15.447189000000028,353.156061,2.7573726771094225,1420.1152780518523,337.708872,338.54539554999997,721.068223,12.40076810846837,6.087617181921614,70.3413928460639,125.78838324140554,40.19845986599561,0.0,0.7748878967669335,6.6272031214273195,11.193504525188112,0.0,0.9927174394426199,2.661877567715565,0.358120264585989,6.0291755398692635,9.532411769299486,2.6071177560919616,0.011598271847300957,9.738890540752804,4.954609020568691,57.68501418476731,105.06246694691794,37.59134210990365,0.016283306437524223
llama32_1b_int8,Llama 3.2,1.0,1024,16,npu_gpu,NPU -> iGPU,NPU,GPU,NPU,2,2.2934929709881544,301,3862,42,179.28908692240466,2.954004738927048,5800.687693000001,13.632889500000022,351.25140700000003,2.7582936449600717,1416.6435762294961,337.6185175,339.14468779999993,722.8353109999999,13.63515086792124,6.065175844456282,71.92180003449688,129.82081002561932,40.13194046315408,0.0,0.7745916917325302,7.023012108497531,11.60635184862415,0.0,0.990291964306099,2.38694656246252,0.35745009460780824,5.8110902581067085,9.351805451128719,2.6764586621103166,0.015646912412225582,11.248204305458719,4.933134058115943,59.08769766789264,108.86265272586644,37.45548180104377,0.01627512041039174
llama32_1b_int8,Llama 3.2,1.0,1024,16,npu_npu,NPU -> NPU,NPU,NPU,NPU,0,39.75868088193238,301,3862,42,141.65457832010898,2.263154920887749,7341.802943,280.63672800000006,703.487532,2.1793012049247533,1434.4001660755237,422.850804,425.36134984999995,713.887257,3.499069742934803,8.24528792514731,47.51049548670227,98.06504860285335,0.0,0.0,0.7746685317885509,6.396435038385817,11.255546212623495,0.0,0.9922743305109871,3.499069742934803,0.5573526449942379,5.8302950888175005,10.350793506310714,0.0,0.65873662136204,0.0,6.913266748364521,35.28376535949895,76.45870888391914,0.0,0.9970076176908262
