stage,window,precision,device,best_concurrency,tokens_per_s,tokens_per_s_p10,tokens_per_s_p90,requests_per_s,successful_concurrency_points,failed_concurrency_points
prefill,128,fp16,GPU,4,4737.671046109966,4714.821081983521,4737.671046109966,37.013055047734106,3,0
prefill,128,fp16,NPU,4,4018.2680989944606,4011.883587177246,4018.2680989944606,31.392719523394224,3,0
prefill,128,int8,GPU,4,6270.4499067010265,6118.2982904581395,6270.4499067010265,48.98788989610177,3,0
prefill,128,int8,NPU,4,1050.4006536103639,1032.3707362281323,1050.4006536103639,8.206255106330968,3,0
prefill,512,fp16,GPU,4,7086.198257884799,6971.537304006765,7086.198257884799,13.840230972431248,3,0
prefill,512,fp16,NPU,4,3607.148901066069,3592.2692275214326,3607.148901066069,7.045212697394666,3,0
prefill,512,int8,GPU,4,7394.171031009507,7289.761009260882,7394.171031009507,14.441740294940443,3,0
prefill,512,int8,NPU,4,2182.765177959201,2176.242617684167,2182.765177959201,4.263213238201565,3,0
prefill,1024,fp16,GPU,4,6388.427722774371,5991.570577523233,6388.427722774371,6.238698948021847,3,0
prefill,1024,fp16,NPU,4,5210.6708224206,5121.886867403409,5210.6708224206,5.088545725020118,3,0
prefill,1024,int8,GPU,4,6911.775462143404,6754.215263938135,6911.775462143404,6.749780724749418,3,0
prefill,1024,int8,NPU,4,3525.9306521007816,3487.3741683814646,3525.9306521007816,3.4432916524421695,3,0
prefill,2048,fp16,GPU,4,5815.415628852284,5791.892737704017,5815.415628852284,2.839558412525529,3,0
prefill,2048,fp16,NPU,1,1654.814484067908,1649.6327487121205,1654.814484067908,0.8080148847987833,1,2
prefill,2048,int8,GPU,4,5781.472698313876,5716.03991019549,5781.472698313876,2.8229847159735724,3,0
prefill,2048,int8,NPU,1,1303.2327712778397,1302.8025475614352,1303.2327712778397,0.6363441266005077,1,2
decode,128,fp16,GPU,4,69.1291928111494,68.83991802397598,69.1291928111494,2.1602872753484186,3,0
decode,128,fp16,NPU,4,66.8823905589718,66.78524260641817,66.8823905589718,2.090074704967869,3,0
decode,128,int8,GPU,4,135.48619554218118,135.05633790878224,135.48619554218118,4.233943610693162,3,0
decode,128,int8,NPU,4,5.296003103174415,5.287124381008854,5.296003103174415,0.16550009697420046,2,1
decode,512,fp16,GPU,4,71.15136397235241,70.76799644290485,71.15136397235241,2.223480124136013,1,2
decode,512,fp16,NPU,4,51.96419988417612,51.9409713968469,51.96419988417612,1.6238812463805037,2,1
decode,512,int8,GPU,4,129.13581888002747,128.72942514079378,129.13581888002747,4.0354943400008585,1,2
decode,512,int8,NPU,1,5.250297747171947,5.245718186796081,5.250297747171947,0.16407180459912335,1,2
decode,1024,fp16,GPU,2,68.2437937447588,67.50766739102527,68.2437937447588,2.1326185545237126,3,0
decode,1024,fp16,NPU,4,50.132125701341614,49.987133987700936,50.132125701341614,1.5666289281669254,2,1
decode,1024,int8,GPU,4,119.2716225382081,118.69600449832265,119.2716225382081,3.7272382043190033,3,0
decode,1024,int8,NPU,1,5.241617648015409,5.241540224056512,5.241617648015409,0.16380055150048153,1,2
decode,2048,fp16,GPU,4,58.47299357471612,58.21185887906035,58.47299357471612,1.8272810492098788,1,2
decode,2048,fp16,NPU,1,45.00368667350218,44.949084541475855,45.00368667350218,1.4063652085469431,1,2
decode,2048,int8,GPU,4,92.99876567287436,92.74411227901503,92.99876567287436,2.9062114272773236,1,2
decode,2048,int8,NPU,1,5.181422899165058,5.181392142100999,5.181422899165058,0.16191946559890807,1,2
