stage,window,precision,operator,operator_label,device,analytic_dense_ops,profile_attributed_latency_us,effective_top_s,effective_top_s_low,effective_top_s_high
prefill,128,fp16,qkv,QKV projection + RoPE,GPU,264241152,136.09307402547995,1.9416208641927482,1.7556389655752065,2.120368743741027
prefill,128,fp16,qkv,QKV projection + RoPE,NPU,264241152,797.6830493546894,0.3312608337531631,0.33060055871266586,0.33324935197467914
prefill,128,fp16,mha,Multi-head attention,GPU,264241152,85.9027204841682,3.0760510320357017,2.8484346482291616,3.3660853806888813
prefill,128,fp16,mha,Multi-head attention,NPU,264241152,486.11924739984363,0.5435727003474436,0.5418833937215923,0.5481342237510347
prefill,128,fp16,ffn,Feed-forward network (SwiGLU),GPU,3347054592,522.1727166509551,6.409861115431141,6.138640410882754,6.6750812506811465
prefill,128,fp16,ffn,Feed-forward network (SwiGLU),NPU,3347054592,664.4114863414031,5.03762301044889,5.0296340407543525,5.051168061284517
prefill,128,int8,qkv,QKV projection + RoPE,GPU,264241152,86.62671574911361,3.0503424920931943,2.8031007731452084,3.3155877482572764
prefill,128,int8,qkv,QKV projection + RoPE,NPU,264241152,306.0939731138865,0.8632680653979602,0.858861973747057,0.873359369208387
prefill,128,int8,mha,Multi-head attention,GPU,264241152,137.07963810848747,1.9276469915311163,1.7758775084522438,2.0913707335161282
prefill,128,int8,mha,Multi-head attention,NPU,264241152,844.9779729259864,0.31271957431622366,0.3122817390882641,0.3132603601261113
prefill,128,int8,ffn,Feed-forward network (SwiGLU),GPU,3347054592,424.5661013637876,7.883471104378376,7.640519406969639,8.180024880102671
prefill,128,int8,ffn,Feed-forward network (SwiGLU),NPU,3347054592,1035.0705468092058,3.2336487617369736,3.2283485112342767,3.2499720384770705
prefill,512,fp16,qkv,QKV projection + RoPE,GPU,1056964608,357.1935329942944,2.9590810313379423,2.7890163615460213,3.1191618777503853
prefill,512,fp16,qkv,QKV projection + RoPE,NPU,1056964608,1069.270104288716,0.9884916858337662,0.9878166601103053,0.9923499081440684
prefill,512,fp16,mha,Multi-head attention,GPU,1761607680,490.690105931556,3.590061545373239,3.536972465485939,3.6500830484313016
prefill,512,fp16,mha,Multi-head attention,NPU,1761607680,1775.5778416536423,0.9921320477616282,0.9906110346777074,0.9945198505239907
prefill,512,fp16,ffn,Feed-forward network (SwiGLU),GPU,13388218368,1337.6717409862088,10.008597743217207,9.513778686039633,10.51459407177146
prefill,512,fp16,ffn,Feed-forward network (SwiGLU),NPU,13388218368,1965.5853628285804,6.8113136275769035,6.8023432496484215,6.8288585553942225
prefill,512,int8,qkv,QKV projection + RoPE,GPU,1056964608,261.29181458734035,4.0451500927010295,3.8766226888807798,4.216851105151266
prefill,512,int8,qkv,QKV projection + RoPE,NPU,1056964608,618.8307044659313,1.7080028517851114,1.706175467988794,1.7123548559312072
prefill,512,int8,mha,Multi-head attention,GPU,1761607680,907.2900277737539,1.9416147274565692,1.9358856546663346,1.9496771374328767
prefill,512,int8,mha,Multi-head attention,NPU,1761607680,2159.750284397608,0.815653408047284,0.8150791088947716,0.8185189666565025
prefill,512,int8,ffn,Feed-forward network (SwiGLU),GPU,13388218368,1290.0680734976436,10.377916206934529,10.177515121947689,10.574023611091357
prefill,512,int8,ffn,Feed-forward network (SwiGLU),NPU,13388218368,1280.6378615581493,10.454335897667889,10.450474857422765,10.479744074980498
prefill,1024,fp16,qkv,QKV projection + RoPE,GPU,2113929216,719.4856696752771,2.938111633208862,2.8396117809424024,3.021467517500705
prefill,1024,fp16,qkv,QKV projection + RoPE,NPU,2113929216,1722.238513798375,1.227431159542331,1.1319603560933809,1.2531515065913068
prefill,1024,fp16,mha,Multi-head attention,GPU,5402263552,1629.595939332455,3.315093896351371,3.3101719464745014,3.3357278581564547
prefill,1024,fp16,mha,Multi-head attention,NPU,5402263552,2816.420255333921,1.9181311957151423,1.7403136223411357,1.942284370838486
prefill,1024,fp16,ffn,Feed-forward network (SwiGLU),GPU,26776436736,2308.024002857784,11.601455055426438,11.305185380825888,11.88981039997833
prefill,1024,fp16,ffn,Feed-forward network (SwiGLU),NPU,26776436736,3113.9009731120223,8.599000728414211,7.84354291714406,8.71729378271779
prefill,1024,int8,qkv,QKV projection + RoPE,GPU,2113929216,455.5562432524677,4.64032542042996,4.5458803468900655,4.702110241679568
prefill,1024,int8,qkv,QKV projection + RoPE,NPU,2113929216,835.3602779379895,2.530559893532454,2.526936425831517,2.545557063378584
prefill,1024,int8,mha,Multi-head attention,GPU,5402263552,3089.0590366927972,1.7488379107780867,1.7406168347762818,1.7647336396269486
prefill,1024,int8,mha,Multi-head attention,NPU,5402263552,2180.899322594641,2.477080668525709,2.4723316985647026,2.486206325142216
prefill,1024,int8,ffn,Feed-forward network (SwiGLU),GPU,26776436736,2362.1075846941785,11.335824375445092,11.212323297287426,11.475104898399014
prefill,1024,int8,ffn,Feed-forward network (SwiGLU),NPU,26776436736,3303.5224196309764,8.105420013765517,8.09764035872534,8.14033226951452
prefill,2048,fp16,qkv,QKV projection + RoPE,GPU,4227858432,1692.6536715117834,2.4977693329456545,2.4392165009634086,2.5512766968362857
prefill,2048,fp16,qkv,QKV projection + RoPE,NPU,4227858432,3275.576974575173,1.2907217460668385,1.2203346026395427,1.3177132938082583
prefill,2048,fp16,mha,Multi-head attention,GPU,18320719872,6877.11620222657,2.664011968573163,2.661528949874599,2.6682704650096065
prefill,2048,fp16,mha,Multi-head attention,NPU,18320719872,2754.3377240698437,6.651588043070142,6.619495285961047,7.425694965233638
prefill,2048,fp16,ffn,Feed-forward network (SwiGLU),GPU,53552873472,4329.225349254598,12.370082209100225,12.318417587920292,12.409378160058115
prefill,2048,fp16,ffn,Feed-forward network (SwiGLU),NPU,53552873472,13509.397295499824,3.9641201084403104,3.945526518515728,4.016510712504608
prefill,2048,int8,qkv,QKV projection + RoPE,GPU,4227858432,1085.6395678722274,3.8943481401348405,3.8094702743536413,3.975514559250002
prefill,2048,int8,qkv,QKV projection + RoPE,NPU,4227858432,3179.3796227824423,1.3297746521693998,1.3271027025320155,1.5052310353713738
prefill,2048,int8,mha,Multi-head attention,GPU,18320719872,11797.047527088067,1.5529919524298306,1.5525051683013362,1.5546749635903525
prefill,2048,int8,mha,Multi-head attention,NPU,18320719872,13344.233615384648,1.3729315897825656,1.3720548728274364,1.4170868756424198
prefill,2048,int8,ffn,Feed-forward network (SwiGLU),GPU,53552873472,4499.717523218984,11.901385630467226,11.876239005584642,11.969585426897604
prefill,2048,int8,ffn,Feed-forward network (SwiGLU),NPU,53552873472,4705.560718216044,11.380763458154417,11.362519003766657,11.65994657536938
decode,128,fp16,qkv,QKV projection + RoPE,GPU,2064384,46.00979949247713,0.04486835462818174,0.04250607963579545,0.04653884722050684
decode,128,fp16,qkv,QKV projection + RoPE,NPU,2064384,385.1584068239513,0.005359831080991025,0.005322448942129883,0.005436834807983677
decode,128,fp16,mha,Multi-head attention,GPU,2064384,71.17767264026227,0.029003252332140225,0.027049323404597106,0.031073508220887426
decode,128,fp16,mha,Multi-head attention,NPU,2064384,643.7164899542329,0.0032069770344810866,0.003200907381550091,0.003231270414777649
decode,128,fp16,ffn,Feed-forward network (SwiGLU),GPU,26148864,355.07562651803005,0.07364308346484663,0.07308062814575358,0.07400983724405097
decode,128,fp16,ffn,Feed-forward network (SwiGLU),NPU,26148864,730.6886021154744,0.0357866044773305,0.035689627787810235,0.03590969351004697
decode,128,int8,qkv,QKV projection + RoPE,GPU,2064384,30.269605641284684,0.06819989743058921,0.06316095369806016,0.07259238681165243
decode,128,int8,qkv,QKV projection + RoPE,NPU,2064384,495.37567999067556,0.004167309949569704,0.004154330766007752,0.0042469611574884195
decode,128,int8,mha,Multi-head attention,GPU,2064384,172.53675215532272,0.01196489428606828,0.010912625508041805,0.013252548815099156
decode,128,int8,mha,Multi-head attention,NPU,2064384,638.646674707363,0.0032324352130165407,0.0032211471245416146,0.003249297342426247
decode,128,int8,ffn,Feed-forward network (SwiGLU),GPU,26148864,201.7973709418979,0.1295798051181195,0.1263219073961203,0.13122241860852493
decode,128,int8,ffn,Feed-forward network (SwiGLU),NPU,26148864,793.3334765540098,0.0329607469907641,0.03293472196492078,0.03307097773543067
decode,512,fp16,qkv,QKV projection + RoPE,GPU,2064384,45.89287885304155,0.04498266510171616,0.04272787905369006,0.04757577738023417
decode,512,fp16,qkv,QKV projection + RoPE,NPU,2064384,301.5325528123951,0.006846305583743724,0.006742685087250452,0.0070496698062595346
decode,512,fp16,mha,Multi-head attention,GPU,3440640,184.56918669158014,0.01864146481692742,0.016939045903161917,0.020917775330777804
decode,512,fp16,mha,Multi-head attention,NPU,3440640,901.7107223238405,0.003815680478028438,0.0038088987797279088,0.0038265371859682942
decode,512,fp16,ffn,Feed-forward network (SwiGLU),GPU,26148864,356.168646750779,0.07341708552549006,0.07285651171975357,0.07382604011329784
decode,512,fp16,ffn,Feed-forward network (SwiGLU),NPU,26148864,772.5495427586195,0.03384749139405047,0.033781221981670474,0.034037492296074764
decode,512,int8,qkv,QKV projection + RoPE,GPU,2064384,27.945840900594536,0.0738708850216091,0.06854178305230828,0.07893336525385924
decode,512,int8,qkv,QKV projection + RoPE,NPU,2064384,527.9797033789054,0.003909968483236357,0.003891137778311649,0.003921749276794758
decode,512,int8,mha,Multi-head attention,GPU,3440640,352.3172084967811,0.00976574495092094,0.008942741054804531,0.010558313364199684
decode,512,int8,mha,Multi-head attention,NPU,3440640,718.8157407447749,0.004786539588622678,0.004776450035156192,0.004792193011241613
decode,512,int8,ffn,Feed-forward network (SwiGLU),GPU,26148864,195.62088630416176,0.13367112527719743,0.13173928150862255,0.1339968468570669
decode,512,int8,ffn,Feed-forward network (SwiGLU),NPU,26148864,720.998886924059,0.03626755113528239,0.03621744668466216,0.036314798858785545
decode,1024,fp16,qkv,QKV projection + RoPE,GPU,2064384,47.851967177401335,0.043141047730529465,0.04172306879290198,0.04526725800688833
decode,1024,fp16,qkv,QKV projection + RoPE,NPU,2064384,522.0027442226184,0.003954737830113021,0.003923034081510085,0.003966831229660804
decode,1024,fp16,mha,Multi-head attention,GPU,5275648,268.5247943781474,0.019646781639726794,0.01789020473968579,0.021781316614193125
