runtime,capacity,rep,final_cosine,relative_l2,top5_overlap,status
2026.0.0-20965-c6d6a13a886-releases/2026/0,2048,1,0.9998460908008534,0.019140544122052183,5,pass
2026.0.0-20965-c6d6a13a886-releases/2026/0,2048,2,0.9998460908008534,0.019140544122052183,5,pass
2026.0.0-20965-c6d6a13a886-releases/2026/0,2048,3,0.9998460908008534,0.019140544122052183,5,pass
2026.0.0-20965-c6d6a13a886-releases/2026/0,4096,1,0.999852103790716,0.01884077543512057,5,pass
2026.0.0-20965-c6d6a13a886-releases/2026/0,4096,2,0.999852103790716,0.01884077543512057,5,pass
2026.0.0-20965-c6d6a13a886-releases/2026/0,4096,3,0.999852103790716,0.01884077543512057,5,pass
2026.3.0-22451-8a17657b995-releases/2026/3,2048,1,0.9998460908008534,0.019140544122052183,5,pass
2026.3.0-22451-8a17657b995-releases/2026/3,2048,2,0.9998460908008534,0.019140544122052183,5,pass
2026.3.0-22451-8a17657b995-releases/2026/3,2048,3,0.9998460908008534,0.019140544122052183,5,pass
2026.3.0-22451-8a17657b995-releases/2026/3,4096,1,0.9998460908008534,0.019140544122052183,5,pass
2026.3.0-22451-8a17657b995-releases/2026/3,4096,2,0.9998460908008534,0.019140544122052183,5,pass
2026.3.0-22451-8a17657b995-releases/2026/3,4096,3,0.9998460908008534,0.019140544122052183,5,pass
