stage,window,precision,device,concurrency,ok,tokens_per_s_median,tokens_per_s_p10,tokens_per_s_p90,requests_per_s_median,measurement_wall_s,error,performance_hint,optimal_number_of_infer_requests,compile_s_excluded
prefill,128,fp16,GPU,1,True,3816.3152571414703,3805.272698206408,3816.3152571414703,29.814962946417737,0.23957560397684574,,THROUGHPUT,2,0.4981651809066534
prefill,128,fp16,GPU,2,True,4290.844464913665,4284.8475572815905,4290.844464913665,33.52222238213801,0.25030299462378025,,THROUGHPUT,2,0.4981651809066534
prefill,128,fp16,GPU,4,True,4737.671046109966,4714.821081983521,4737.671046109966,37.013055047734106,0.4492099080234766,,THROUGHPUT,2,0.4981651809066534
prefill,128,fp16,NPU,1,True,1722.1729611623734,1452.2293779110848,1722.1729611623734,13.454476259081042,0.7275592815130949,,THROUGHPUT,1,0.2078733816742897
prefill,128,fp16,NPU,2,True,3195.026801373965,3176.256577297718,3195.026801373965,24.961146885734102,0.38291908614337444,,THROUGHPUT,1,0.2078733816742897
prefill,128,fp16,NPU,4,True,4018.2680989944606,4011.883587177246,4018.2680989944606,31.392719523394224,0.6184221897274256,,THROUGHPUT,1,0.2078733816742897
prefill,128,int8,GPU,1,True,4027.989626089286,2176.99340589632,4027.989626089286,31.468668953822547,0.3289160933345556,,THROUGHPUT,4,1.1612369492650032
prefill,128,int8,GPU,2,True,5212.038302553922,5179.979988933664,5212.038302553922,40.71904923870252,0.20713635720312595,,THROUGHPUT,4,1.1612369492650032
prefill,128,int8,GPU,4,True,6270.4499067010265,6118.2982904581395,6270.4499067010265,48.98788989610177,0.34505140595138073,,THROUGHPUT,4,1.1612369492650032
prefill,128,int8,NPU,1,True,518.074993388877,516.8444338454093,518.074993388877,4.047460885850602,1.1947597172111273,,THROUGHPUT,1,7.384315734729171
prefill,128,int8,NPU,2,True,887.6061077891645,878.9894473008621,887.6061077891645,6.934422717102848,1.3245260752737522,,THROUGHPUT,1,7.384315734729171
prefill,128,int8,NPU,4,True,1050.4006536103639,1032.3707362281323,1050.4006536103639,8.206255106330968,2.1817549020051956,,THROUGHPUT,1,7.384315734729171
prefill,512,fp16,GPU,1,True,4704.30730368438,4034.308659398036,4704.30730368438,9.188100202508554,0.6147676445543766,,THROUGHPUT,4,1.2269768584519625
prefill,512,fp16,GPU,2,True,6212.882531811402,6182.444729140655,6212.882531811402,12.134536194944145,0.7036994304507971,,THROUGHPUT,4,1.2269768584519625
prefill,512,fp16,GPU,4,True,7086.198257884799,6971.537304006765,7086.198257884799,13.840230972431248,1.2299620565026999,,THROUGHPUT,4,1.2269768584519625
prefill,512,fp16,NPU,1,True,1780.7106826138313,1780.319106002534,1780.7106826138313,3.4779505519801392,1.382890859618783,,THROUGHPUT,1,13.709264755249023
prefill,512,fp16,NPU,2,True,2877.069963944297,2870.0185847230027,2877.069963944297,5.619277273328705,2.0082966927438974,,THROUGHPUT,1,13.709264755249023
prefill,512,fp16,NPU,4,True,3607.148901066069,3592.2692275214326,3607.148901066069,7.045212697394666,2.526452027261257,,THROUGHPUT,1,13.709264755249023
prefill,512,int8,GPU,1,True,4899.7747427629865,3926.818995737252,4899.7747427629865,9.569872544458958,0.6310099773108959,,THROUGHPUT,4,1.1996818464249372
prefill,512,int8,GPU,2,True,6489.506686529286,6452.298335862173,6489.506686529286,12.674817747127511,0.6761003658175468,,THROUGHPUT,4,1.1996818464249372
prefill,512,int8,GPU,4,True,7394.171031009507,7289.761009260882,7394.171031009507,14.441740294940443,1.1854896452277899,,THROUGHPUT,4,1.1996818464249372
prefill,512,int8,NPU,1,True,1105.635495121125,1105.3292497390305,1105.635495121125,2.159444326408447,2.144889023154974,,THROUGHPUT,1,16.329617485404015
prefill,512,int8,NPU,2,True,1868.4452342316972,1864.0795323237858,1868.4452342316972,3.6493070981087836,2.7464154716581106,,THROUGHPUT,1,16.329617485404015
prefill,512,int8,NPU,4,True,2182.765177959201,2176.242617684167,2182.765177959201,4.263213238201565,4.097792398184538,,THROUGHPUT,1,16.329617485404015
prefill,1024,fp16,GPU,1,True,5242.981551966973,5006.579280368507,5242.981551966973,5.120099171842747,0.9961896855384111,,THROUGHPUT,4,1.2609429452568293
