window,series,label,kind,process_repetitions,timed_requests_per_process,latency_s,latency_min_s,latency_max_s,request_work_tokens_per_s,throughput_min,throughput_max,net_system_energy_j,energy_min_j,energy_max_j,prefill_median_s,compile_prompt_limit,runtime,campaign,route,note
128,direct_gpu,GPU e2e,measured,3,5,0.48323968797922134,0.48126859217882156,0.48435972444713116,331.098632790442,330.33299823314337,332.4546887126803,13.61371665173678,13.152908572094656,14.309670796100818,0.028938617557287216,,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm,native full-model path,"Fixed-input forward calls, not sampled text. Final-step logits checked; energy includes reset and output-summary CPU work."
128,direct_npu,NPU e2e (native NPUW),measured,3,5,0.5433242134749889,0.541603883728385,0.5438497960567474,294.4834705169372,294.1988783669691,295.4188564870783,9.13325846807174,9.031345119854436,9.585841506902009,0.025157611817121506,128,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm,native full-model path,"Fixed-input forward calls, not sampled text. Final-step logits checked; energy includes reset and output-summary CPU work."
128,oracle_compute,Compute oracle: withdrawn,unvalidated; no numeric claim,0,0,,,,,,,,,,,,,,,Invalid historical GPU MHA trace; mixed-runtime anchoring; energy is not identifiable from latency.
128,npuw_hybrid_correct,NPUW hybrid (prefill MHA on NPU),measured,3,5,1.2392353769391775,1.2161691188812256,1.2511370964348316,129.1118725122168,127.88366715040806,131.5606501727216,35.3366934953415,34.437602072965475,36.58741508194135,0.03937311843037605,128,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm,NPUW GPU-priority; prefill 1:NPU override,"Fixed-input forward calls, not sampled text. Final-step logits checked; energy includes reset and output-summary CPU work."
512,direct_gpu,GPU e2e,measured,3,5,0.5765131078660488,0.5691474173218012,0.5770914517343044,943.6038705409571,942.6582188406078,955.8156348312434,16.180757903001684,15.574409676526795,16.42671190791483,0.10650640167295933,,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm,native full-model path,"Fixed-input forward calls, not sampled text. Final-step logits checked; energy includes reset and output-summary CPU work."
512,direct_npu,NPU e2e (native NPUW),measured,3,5,0.5898269899189472,0.5882054250687361,0.5912595242261887,922.3043524589394,920.0697455351107,924.8469613085083,10.246507678246726,9.936553154092191,10.519602458684082,0.07465548254549503,512,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm,native full-model path,"Fixed-input forward calls, not sampled text. Final-step logits checked; energy includes reset and output-summary CPU work."
512,oracle_compute,Compute oracle: withdrawn,unvalidated; no numeric claim,0,0,,,,,,,,,,,,,,,Invalid historical GPU MHA trace; mixed-runtime anchoring; energy is not identifiable from latency.
512,npuw_hybrid_correct,NPUW hybrid (prefill MHA on NPU),measured,3,5,1.354878343641758,1.3500793687999249,1.3715618886053562,401.51206383429985,396.6281102729932,402.93927347660855,37.06860499108179,36.75156216390152,39.357228700804946,0.12856789864599705,512,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm,NPUW GPU-priority; prefill 1:NPU override,"Fixed-input forward calls, not sampled text. Final-step logits checked; energy includes reset and output-summary CPU work."
1024,direct_gpu,GPU e2e,measured,3,5,0.6845937166363001,0.6841690614819527,0.6869693472981453,1542.5207306730433,1537.1864904209403,1543.4781539414228,19.891807329609644,19.270743543606578,20.03018066988239,0.1950866635888815,,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm,native full-model path,"Fixed-input forward calls, not sampled text. Final-step logits checked; energy includes reset and output-summary CPU work."
1024,direct_npu,NPU e2e (native NPUW),measured,3,5,0.6667081955820322,0.6637947168201208,0.6689886059612036,1583.9013334433641,1578.5022205015555,1590.853276233835,12.246035940587658,12.068177968665404,12.777976432035198,0.13380852155387402,1024,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm,native full-model path,"Fixed-input forward calls, not sampled text. Final-step logits checked; energy includes reset and output-summary CPU work."
