window,precision,system,total_latency_s,request_work_tokens_per_s,net_system_energy_j,status,canonical_file
128,fp16,GPU,0.48323968797922134,331.098632790442,13.61371665173678,measured,e2e_four_way_fp16.csv
128,fp16,NPU,0.5433242134749889,294.4834705169372,9.13325846807174,measured,e2e_four_way_fp16.csv
128,fp16,oracle,,,,unvalidated; no numeric claim,e2e_four_way_fp16.csv
512,fp16,GPU,0.5765131078660488,943.6038705409571,16.180757903001684,measured,e2e_four_way_fp16.csv
512,fp16,NPU,0.5898269899189472,922.3043524589394,10.246507678246726,measured,e2e_four_way_fp16.csv
512,fp16,oracle,,,,unvalidated; no numeric claim,e2e_four_way_fp16.csv
1024,fp16,GPU,0.6845937166363001,1542.5207306730433,19.891807329609644,measured,e2e_four_way_fp16.csv
1024,fp16,NPU,0.6667081955820322,1583.9013334433641,12.246035940587658,measured,e2e_four_way_fp16.csv
1024,fp16,oracle,,,,unvalidated; no numeric claim,e2e_four_way_fp16.csv
2048,fp16,GPU,0.9464181941002607,2197.7599468883955,27.713513875514373,measured,e2e_four_way_fp16.csv
2048,fp16,NPU,0.840327262878418,2475.2261313946483,16.27920216629202,measured,e2e_four_way_fp16.csv
2048,fp16,oracle,,,,unvalidated; no numeric claim,e2e_four_way_fp16.csv
