stage,window,precision,operator,winner,gpu_us,npu_us,speedup
prefill,128,fp16,qkv,GPU,136.09307402547995,797.6830493546894,5.861305250591545
prefill,128,fp16,mha,GPU,85.9027204841682,486.11924739984363,5.658950550808632
prefill,128,fp16,ffn,GPU,522.1727166509551,664.4114863414031,1.2723979349260548
prefill,128,int8,qkv,GPU,86.62671574911361,306.0939731138865,3.5334823728096665
prefill,128,int8,mha,GPU,137.07963810848747,844.9779729259864,6.164139215608772
prefill,128,int8,ffn,GPU,424.5661013637876,1035.0705468092058,2.4379491049435202
prefill,512,fp16,qkv,GPU,357.1935329942944,1069.270104288716,2.9935315326825807
prefill,512,fp16,mha,GPU,490.690105931556,1775.5778416536423,3.618531982182068
prefill,512,fp16,ffn,GPU,1337.6717409862088,1965.5853628285804,1.4694078544108569
prefill,512,int8,qkv,GPU,261.29181458734035,618.8307044659313,2.3683509008625245
prefill,512,int8,mha,GPU,907.2900277737539,2159.750284397608,2.380440893522279
prefill,512,int8,ffn,NPU,1290.0680734976436,1280.6378615581493,1.0073636835381554
prefill,1024,fp16,qkv,GPU,719.4856696752771,1722.238513798375,2.3937078754823102
prefill,1024,fp16,mha,GPU,1629.595939332455,2816.420255333921,1.7282936139909841
prefill,1024,fp16,ffn,GPU,2308.024002857784,3113.9009731120223,1.349163166958578
prefill,1024,int8,qkv,GPU,455.5562432524677,835.3602779379895,1.8337149151417418
prefill,1024,int8,mha,NPU,3089.0590366927972,2180.899322594641,1.4164152396625573
prefill,1024,int8,ffn,GPU,2362.1075846941785,3303.5224196309764,1.3985486694327187
prefill,2048,fp16,qkv,GPU,1692.6536715117834,3275.576974575173,1.935172581198853
prefill,2048,fp16,mha,NPU,6877.11620222657,2754.3377240698437,2.4968311409774606
prefill,2048,fp16,ffn,GPU,4329.225349254598,13509.397295499824,3.120511455432982
prefill,2048,int8,qkv,GPU,1085.6395678722274,3179.3796227824423,2.928577510318447
prefill,2048,int8,mha,GPU,11797.047527088067,13344.233615384648,1.131150280164929
prefill,2048,int8,ffn,GPU,4499.717523218984,4705.560718216044,1.0457458038054364
decode,128,fp16,qkv,GPU,46.00979949247713,385.1584068239513,8.371225501361442
decode,128,fp16,mha,GPU,71.17767264026227,643.7164899542329,9.043797950624604
decode,128,fp16,ffn,GPU,355.07562651803005,730.6886021154744,2.057839365886105
decode,128,int8,qkv,GPU,30.269605641284684,495.37567999067556,16.365448756128927
decode,128,int8,mha,GPU,172.53675215532272,638.646674707363,3.7015109345076476
decode,128,int8,ffn,GPU,201.7973709418979,793.3334765540098,3.9313370280846165
decode,512,fp16,qkv,GPU,45.89287885304155,301.5325528123951,6.5703560192413395
decode,512,fp16,mha,GPU,184.56918669158014,901.7107223238405,4.885488951255024
decode,512,fp16,ffn,GPU,356.168646750779,772.5495427586195,2.1690554455209914
decode,512,int8,qkv,GPU,27.945840900594536,527.9797033789054,18.892961756168617
decode,512,int8,mha,GPU,352.3172084967811,718.8157407447749,2.040251578433309
decode,512,int8,ffn,GPU,195.62088630416176,720.998886924059,3.6856948178990026
decode,1024,fp16,qkv,GPU,47.851967177401335,522.0027442226184,10.908699788399513
decode,1024,fp16,mha,GPU,268.5247943781474,869.4090646266999,3.2377236025451084
decode,1024,fp16,ffn,GPU,355.2537612602838,411.4526055920855,1.1581935237854568
decode,1024,int8,qkv,GPU,28.169599428112566,787.5955310673689,27.95906037206081
decode,1024,int8,mha,GPU,626.0984531540342,899.6062729908062,1.4368447461560538
decode,1024,int8,ffn,GPU,196.001585398879,836.529334896475,4.26797228805099
decode,2048,fp16,qkv,GPU,45.65855132714483,390.14582674430216,8.544857762763783
decode,2048,fp16,mha,GPU,470.79039590656,1888.2503456920458,4.010808975947793
decode,2048,fp16,ffn,GPU,358.47343429170473,641.6445033764213,1.7899359952411105
decode,2048,int8,qkv,GPU,25.70974951999966,1068.0539756277287,41.54276084241457
decode,2048,int8,mha,NPU,1138.4030465973638,1086.0266730646715,1.048227520402322
decode,2048,int8,ffn,GPU,185.90126575999756,1073.2532262405905,5.7732432420669095
