stage,window,precision,operator,operator_label,device,path,median_us,p10_us,p90_us
prefill,128,fp16,qkv,QKV projection + RoPE,GPU,plain,136.09307402547995,124.62037689434706,150.50996086397848
prefill,128,fp16,qkv,QKV projection + RoPE,NPU,plain,797.6830493546894,792.923228310066,799.2761809869153
prefill,128,fp16,mha,Multi-head attention,GPU,plain,85.9027204841682,78.50102481533672,92.76714568974775
prefill,128,fp16,mha,Multi-head attention,NPU,plain,486.11924739984363,482.07380701705586,487.63471082814044
prefill,128,fp16,ffn,Feed-forward network (SwiGLU),GPU,plain,522.1727166509551,501.42529600796337,545.2436318091296
prefill,128,fp16,ffn,Feed-forward network (SwiGLU),NPU,plain,664.4114863414031,662.6298217345081,665.4668242021846
prefill,128,int8,qkv,QKV projection + RoPE,GPU,plain,86.62671574911361,79.69662456947164,94.2674464405749
prefill,128,int8,qkv,QKV projection + RoPE,NPU,plain,306.0939731138865,302.55718472397933,307.6642814294879
prefill,128,int8,mha,Multi-head attention,GPU,plain,137.07963810848747,126.3483072442843,148.79469487188783
prefill,128,int8,mha,Multi-head attention,NPU,plain,844.9779729259864,843.5192754474989,846.1626759588213
prefill,128,int8,ffn,Feed-forward network (SwiGLU),GPU,plain,424.5661013637876,409.17413346033607,438.06636875325984
prefill,128,int8,ffn,Feed-forward network (SwiGLU),NPU,plain,1035.0705468092058,1029.871811933626,1036.7699089341315
prefill,512,fp16,qkv,QKV projection + RoPE,GPU,plain,357.1935329942944,338.8617357565002,378.97397181782685
prefill,512,fp16,qkv,QKV projection + RoPE,NPU,plain,1069.270104288716,1065.112818901527,1070.0007913229294
prefill,512,fp16,mha,Multi-head attention,GPU,plain,490.690105931556,482.6212600168336,498.05524277893295
prefill,512,fp16,mha,Multi-head attention,NPU,plain,1775.5778416536423,1771.3147495968508,1778.3041156745587
prefill,512,fp16,ffn,Feed-forward network (SwiGLU),GPU,plain,1337.6717409862088,1273.2986434486675,1407.2450925987653
prefill,512,fp16,ffn,Feed-forward network (SwiGLU),NPU,plain,1965.5853628285804,1960.5353163193631,1968.17741719987
prefill,512,int8,qkv,QKV projection + RoPE,GPU,plain,261.29181458734035,250.65257976712104,272.65088527487217
prefill,512,int8,qkv,QKV projection + RoPE,NPU,plain,618.8307044659313,617.2579266142852,619.4934974923353
prefill,512,int8,mha,Multi-head attention,GPU,plain,907.2900277737539,903.538153152626,909.9750678733282
prefill,512,int8,mha,Multi-head attention,NPU,plain,2159.750284397608,2152.189199959336,2161.272029642251
prefill,512,int8,ffn,Feed-forward network (SwiGLU),GPU,plain,1290.0680734976436,1266.1422804046667,1315.4702506045378
prefill,512,int8,ffn,Feed-forward network (SwiGLU),NPU,plain,1280.6378615581493,1277.5329504432498,1281.111006978847
prefill,1024,fp16,qkv,QKV projection + RoPE,GPU,plain,719.4856696752771,699.6365851215895,744.4430362584407
prefill,1024,fp16,qkv,QKV projection + RoPE,NPU,plain,1722.238513798375,1686.8903758892584,1867.494037773185
prefill,1024,fp16,mha,Multi-head attention,GPU,plain,1629.595939332455,1619.5156744548253,1632.0190127143337
prefill,1024,fp16,mha,Multi-head attention,NPU,plain,2816.420255333921,2781.3968094012093,3104.189660213468
