stage,window,precision,operator,operator_label,device,path,median_us,p10_us,p90_us
prefill,128,fp16,token_embedding,Token embedding,GPU,plain,18.338783024710064,16.681467773259055,20.825277603820922
prefill,128,fp16,token_embedding,Token embedding,NPU,npuw,45.88816436347211,44.90288012706033,47.65605104674008
prefill,128,fp16,pre_attention_rmsnorm,Pre-attention RMSNorm,GPU,plain,27.990774090346942,24.531570254792726,30.29131287828498
prefill,128,fp16,pre_attention_rmsnorm,Pre-attention RMSNorm,NPU,npuw,73.29004431569253,72.08203461148618,75.89667388925272
prefill,128,fp16,qkv_projection,QKV projection,GPU,plain,76.25072941853132,70.65092233380305,84.2477139427301
prefill,128,fp16,qkv_projection,QKV projection,NPU,npuw,132.49138636248452,128.85174297330354,133.75433087613888
prefill,128,fp16,rotary_embedding,Rotary embedding (RoPE),GPU,plain,31.851570516601694,29.437884305751272,35.970934042963414
prefill,128,fp16,rotary_embedding,Rotary embedding (RoPE),NPU,plain,524.0253608899419,522.4915804712298,525.0931780459989
prefill,128,fp16,kv_cache_and_gqa_layout,KV cache + GQA layout,GPU,plain,20.26918123783744,17.662730583450763,22.718484658713734
prefill,128,fp16,kv_cache_and_gqa_layout,KV cache + GQA layout,NPU,npuw,40.76658041922601,37.90761403939,40.99828185514204
prefill,128,fp16,scaled_dot_product_attention,Scaled dot-product attention,GPU,plain,19.303982131273752,16.681467773259055,20.825277603820922
prefill,128,fp16,scaled_dot_product_attention,Scaled dot-product attention,NPU,plain,151.3664722442627,149.10989402368187,152.11291725833036
prefill,128,fp16,attention_output_and_residual,Attention output + residual,GPU,plain,46.32955711505701,44.15682645862691,49.22338342721309
prefill,128,fp16,attention_output_and_residual,Attention output + residual,NPU,plain,190.7574485130989,189.59610093048843,191.43838387257387
prefill,128,fp16,ffn_rmsnorm,FFN RMSNorm,GPU,plain,28.95597319691063,26.494095875176146,31.237916405731387
prefill,128,fp16,ffn_rmsnorm,FFN RMSNorm,NPU,plain,125.16842897121722,122.92474190244992,125.9271498477387
prefill,128,fp16,ffn_gate_projection,FFN gate projection,GPU,plain,179.5270338208459,171.7209917835491,187.4274984343883
prefill,128,fp16,ffn_gate_projection,FFN gate projection,NPU,plain,148.38252868698098,147.01822624967815,148.52870036897775
prefill,128,fp16,ffn_up_projection,FFN up projection,GPU,plain,157.32745436988108,151.1144727695232,164.70901377567458
prefill,128,fp16,ffn_up_projection,FFN up projection,NPU,plain,147.70859025979914,146.9277980135792,147.74603925091418
prefill,128,fp16,swiglu_activation,SwiGLU activation,GPU,plain,0.0,0.0,0.0
prefill,128,fp16,swiglu_activation,SwiGLU activation,NPU,plain,48.75746942483462,48.50132814500867,48.7694742184884
prefill,128,fp16,ffn_down_and_residual,FFN down projection + residual,GPU,plain,156.3622552633174,152.0957355797149,161.86920319333535
prefill,128,fp16,ffn_down_and_residual,FFN down projection + residual,NPU,plain,195.63720899497744,195.02987769933847,195.85402156497557
prefill,128,fp16,final_rmsnorm,Final RMSNorm,GPU,plain,28.155386970200784,26.494095875176146,31.237916405731387
prefill,128,fp16,final_rmsnorm,Final RMSNorm,NPU,plain,36.39065006180152,36.36379349349023,36.40409322769062
prefill,128,fp16,lm_head,LM head,GPU,plain,3336.6933113906684,3253.7364362557314,3366.585255994677
prefill,128,fp16,lm_head,LM head,NPU,plain,3866.39455304696,3858.1984896593135,3867.401495238617
prefill,128,int8,token_embedding,Token embedding,GPU,plain,16.031000187252367,14.508420482594916,17.55962237618552
prefill,128,int8,token_embedding,Token embedding,NPU,plain,25.901621361180023,24.38189767006427,26.371224122527533
prefill,128,int8,pre_attention_rmsnorm,Pre-attention RMSNorm,GPU,plain,3.8876402229010556,3.807767725235763,4.620953256890926
prefill,128,int8,pre_attention_rmsnorm,Pre-attention RMSNorm,NPU,plain,88.51545784547257,86.99904395909296,88.7915026786841
prefill,128,int8,qkv_projection,QKV projection,GPU,plain,51.4048642906828,48.36140160864972,55.45143908269112
prefill,128,int8,qkv_projection,QKV projection,NPU,plain,44.501440706765216,43.798704869980725,44.63896447352302
prefill,128,int8,rotary_embedding,Rotary embedding (RoPE),GPU,plain,31.414083733195046,27.213481560307386,34.195054100992856
prefill,128,int8,rotary_embedding,Rotary embedding (RoPE),NPU,plain,173.34354032972783,170.6732836904499,174.2944311840836
prefill,128,int8,kv_cache_and_gqa_layout,KV cache + GQA layout,GPU,plain,33.317967595812924,30.12921172748318,36.96762605512741
