stage,window,precision,oracle_s
prefill,128,fp16,0.030185865238308907
prefill,128,int8,0.026029517874121666
prefill,512,fp16,0.09770817682147026
prefill,512,int8,0.09386863533711803
prefill,1024,fp16,0.19095719046890736
prefill,1024,int8,0.1546241476327418
prefill,2048,fp16,0.28406827035145554
prefill,2048,int8,0.39956988021731377
decode,128,fp16,0.01434256322681904
decode,128,int8,0.008180768229067326
decode,512,fp16,0.01464049518108368
decode,512,int8,0.00859830342233181
decode,1024,fp16,0.015129623003304008
decode,1024,int8,0.009100053459405899
decode,2048,fp16,0.016187230125069618
decode,2048,int8,0.009960948373582697
